Id,degree,pageranks,eigencentrality,betweenesscentrality
36192,7,0.000 ,0.017 ,24158.085 
39688,7,0.000 ,0.050 ,22586.364 
63113,59,0.001 ,0.407 ,434011.117 
65086,25,0.000 ,0.122 ,167208.385 
66829,2,0.000 ,0.005 ,2222.064 
68041,16,0.000 ,0.054 ,64927.945 
554,33,0.000 ,0.253 ,146642.151 
3088,27,0.000 ,0.134 ,161660.401 
4503,11,0.000 ,0.107 ,9328.695 
4521,11,0.000 ,0.107 ,9328.695 
6142,42,0.001 ,0.200 ,471737.537 
9117,5,0.000 ,0.052 ,377.961 
11180,23,0.000 ,0.121 ,60124.927 
12981,15,0.000 ,0.119 ,28337.817 
13769,4,0.000 ,0.037 ,326.437 
20394,46,0.001 ,0.246 ,435555.823 
21477,13,0.000 ,0.078 ,24747.824 
22916,13,0.000 ,0.069 ,100675.388 
24295,24,0.000 ,0.176 ,162900.556 
28268,11,0.000 ,0.044 ,226020.725 
33726,5,0.000 ,0.029 ,5410.667 
40894,32,0.000 ,0.249 ,47106.008 
44594,8,0.000 ,0.028 ,12948.424 
45385,37,0.000 ,0.222 ,211602.934 
46139,42,0.001 ,0.200 ,332718.537 
49541,25,0.000 ,0.180 ,38807.593 
50970,6,0.000 ,0.043 ,783.857 
53159,18,0.000 ,0.068 ,136395.604 
55835,25,0.000 ,0.237 ,21778.449 
56948,18,0.000 ,0.106 ,137066.549 
57628,2,0.000 ,0.029 ,0.000 
60251,8,0.000 ,0.054 ,2916.241 
60797,18,0.000 ,0.087 ,61970.678 
67012,11,0.000 ,0.097 ,6700.052 
1441,65,0.001 ,0.163 ,814129.476 
3306,22,0.000 ,0.146 ,173939.879 
15089,7,0.000 ,0.021 ,44476.195 
22990,14,0.000 ,0.026 ,84275.286 
25318,5,0.000 ,0.014 ,0.000 
25406,2,0.000 ,0.005 ,1502.996 
25750,15,0.000 ,0.033 ,24405.735 
25902,14,0.000 ,0.040 ,78842.667 
28406,22,0.000 ,0.046 ,47695.336 
28440,1,0.000 ,0.004 ,0.000 
29941,3,0.000 ,0.005 ,10094.166 
33454,25,0.000 ,0.134 ,66007.161 
39659,18,0.000 ,0.091 ,67411.379 
40187,7,0.000 ,0.019 ,1430.016 
42018,9,0.000 ,0.028 ,45181.509 
59205,9,0.000 ,0.018 ,23845.083 
1444,4,0.000 ,0.008 ,6.417 
4189,1,0.000 ,0.004 ,0.000 
5338,20,0.000 ,0.033 ,227749.844 
12698,1,0.000 ,0.004 ,0.000 
14425,5,0.000 ,0.007 ,28282.384 
15946,19,0.000 ,0.051 ,167445.372 
19172,4,0.000 ,0.007 ,163.788 
22014,7,0.000 ,0.021 ,37173.308 
29017,12,0.000 ,0.026 ,53075.048 
30982,7,0.000 ,0.022 ,1289.780 
34121,15,0.000 ,0.032 ,30591.559 
35725,17,0.000 ,0.068 ,133097.504 
35863,10,0.000 ,0.024 ,30138.593 
40691,5,0.000 ,0.013 ,3387.490 
41588,25,0.000 ,0.047 ,193971.125 
45556,11,0.000 ,0.026 ,64778.179 
52121,4,0.000 ,0.011 ,8636.000 
52622,24,0.000 ,0.046 ,108496.094 
56995,7,0.000 ,0.024 ,38413.240 
57145,4,0.000 ,0.009 ,9088.441 
3029,6,0.000 ,0.011 ,7202.594 
39076,1,0.000 ,0.001 ,0.000 
57738,26,0.000 ,0.130 ,61945.406 
2394,11,0.000 ,0.056 ,22999.888 
2470,2,0.000 ,0.011 ,0.000 
6975,23,0.000 ,0.130 ,125888.674 
17554,8,0.000 ,0.037 ,39412.138 
17702,2,0.000 ,0.010 ,0.000 
18533,22,0.000 ,0.116 ,37165.160 
20532,10,0.000 ,0.060 ,4514.310 
22552,36,0.000 ,0.220 ,136765.939 
27926,13,0.000 ,0.068 ,18001.533 
29761,6,0.000 ,0.025 ,1030.980 
33137,2,0.000 ,0.018 ,0.000 
34596,13,0.000 ,0.067 ,28671.911 
35059,5,0.000 ,0.030 ,252.698 
35280,29,0.000 ,0.132 ,88397.946 
47226,6,0.000 ,0.030 ,15007.214 
54118,6,0.000 ,0.033 ,912.007 
60926,42,0.001 ,0.222 ,276935.962 
61918,10,0.000 ,0.022 ,23553.603 
65338,10,0.000 ,0.040 ,30743.072 
66820,29,0.000 ,0.155 ,96583.599 
66821,4,0.000 ,0.031 ,0.000 
67820,7,0.000 ,0.042 ,46874.430 
4070,13,0.000 ,0.049 ,110255.900 
17141,17,0.000 ,0.052 ,142994.083 
25442,8,0.000 ,0.035 ,29160.166 
30291,24,0.000 ,0.144 ,70894.869 
37380,2,0.000 ,0.019 ,0.000 
46598,7,0.000 ,0.051 ,22514.155 
51911,3,0.000 ,0.011 ,1222.827 
53676,15,0.000 ,0.055 ,50425.527 
54556,19,0.000 ,0.119 ,188138.385 
57682,3,0.000 ,0.032 ,0.000 
57739,3,0.000 ,0.026 ,0.000 
58198,1,0.000 ,0.008 ,0.000 
6466,5,0.000 ,0.036 ,7315.929 
9207,20,0.000 ,0.147 ,13706.603 
9211,1,0.000 ,0.009 ,0.000 
12067,26,0.000 ,0.157 ,31505.144 
16164,54,0.001 ,0.351 ,402618.530 
17755,23,0.000 ,0.051 ,102281.751 
27312,34,0.000 ,0.278 ,74776.587 
28209,7,0.000 ,0.033 ,4995.243 
32800,18,0.000 ,0.093 ,104279.933 
36011,2,0.000 ,0.015 ,0.000 
36019,8,0.000 ,0.040 ,25701.970 
38656,14,0.000 ,0.098 ,39101.366 
39723,32,0.000 ,0.236 ,179114.534 
54519,30,0.000 ,0.107 ,237652.130 
55319,38,0.001 ,0.168 ,258483.598 
57174,2,0.000 ,0.015 ,0.000 
58769,11,0.000 ,0.038 ,20610.257 
64720,11,0.000 ,0.040 ,9144.821 
10849,12,0.000 ,0.058 ,6980.306 
14456,18,0.000 ,0.050 ,162370.833 
15993,11,0.000 ,0.053 ,25603.648 
21895,18,0.000 ,0.087 ,95648.906 
28970,2,0.000 ,0.009 ,0.000 
47703,9,0.000 ,0.048 ,14755.934 
54274,2,0.000 ,0.010 ,789.804 
66739,21,0.000 ,0.049 ,125788.868 
67464,9,0.000 ,0.041 ,22747.662 
11090,4,0.000 ,0.041 ,2130.571 
1227,23,0.000 ,0.076 ,101060.591 
3826,20,0.000 ,0.092 ,99456.879 
1693,3,0.000 ,0.019 ,1499.196 
2317,24,0.000 ,0.169 ,81827.905 
2658,9,0.000 ,0.068 ,3682.596 
5187,26,0.000 ,0.211 ,54956.461 
6647,6,0.000 ,0.028 ,20995.848 
7522,18,0.000 ,0.098 ,67536.817 
10597,8,0.000 ,0.038 ,193083.603 
11443,3,0.000 ,0.028 ,0.000 
12818,13,0.000 ,0.112 ,18668.773 
13093,18,0.000 ,0.099 ,23070.250 
16521,11,0.000 ,0.067 ,32160.723 
20994,29,0.000 ,0.221 ,178446.557 
21044,28,0.000 ,0.151 ,118305.847 
24959,28,0.000 ,0.186 ,109236.009 
26042,7,0.000 ,0.045 ,17947.352 
26654,4,0.000 ,0.019 ,17270.000 
27246,12,0.000 ,0.092 ,26599.698 
28320,19,0.000 ,0.132 ,40991.824 
28534,17,0.000 ,0.065 ,87200.554 
33200,20,0.000 ,0.152 ,19513.328 
33847,22,0.000 ,0.165 ,37273.356 
34305,7,0.000 ,0.043 ,38053.412 
34364,18,0.000 ,0.070 ,265563.247 
34891,12,0.000 ,0.070 ,71545.601 
35247,3,0.000 ,0.028 ,0.000 
42581,21,0.000 ,0.134 ,111586.168 
48773,13,0.000 ,0.094 ,13817.144 
49929,9,0.000 ,0.042 ,90571.630 
51277,6,0.000 ,0.040 ,598.971 
54369,15,0.000 ,0.059 ,162072.492 
54424,14,0.000 ,0.127 ,55765.065 
54785,44,0.001 ,0.363 ,141832.779 
58449,9,0.000 ,0.042 ,13430.078 
68711,27,0.000 ,0.134 ,225652.493 
2416,7,0.000 ,0.031 ,31756.500 
7859,38,0.001 ,0.105 ,191106.496 
10425,14,0.000 ,0.041 ,64742.097 
10740,2,0.000 ,0.019 ,0.000 
16455,8,0.000 ,0.032 ,2894.311 
17329,12,0.000 ,0.067 ,42499.707 
19740,4,0.000 ,0.026 ,13371.165 
21130,20,0.000 ,0.065 ,126348.022 
22838,36,0.000 ,0.263 ,222187.674 
23448,10,0.000 ,0.051 ,35666.796 
32368,25,0.000 ,0.157 ,98053.427 
35236,9,0.000 ,0.040 ,28550.344 
37482,17,0.000 ,0.107 ,79248.636 
38256,5,0.000 ,0.028 ,6737.360 
39608,1,0.000 ,0.015 ,0.000 
42595,12,0.000 ,0.071 ,16227.378 
46876,3,0.000 ,0.022 ,415.305 
48022,14,0.000 ,0.120 ,9106.540 
48024,2,0.000 ,0.020 ,0.000 
49794,18,0.000 ,0.085 ,42092.040 
50192,9,0.000 ,0.029 ,28586.711 
51707,4,0.000 ,0.045 ,0.000 
53316,7,0.000 ,0.026 ,26698.157 
55735,15,0.000 ,0.106 ,77556.271 
56559,18,0.000 ,0.168 ,23218.694 
60516,16,0.000 ,0.067 ,79288.715 
62245,8,0.000 ,0.051 ,39496.876 
63938,11,0.000 ,0.070 ,32961.722 
63966,18,0.000 ,0.098 ,40919.255 
66135,44,0.001 ,0.341 ,262923.154 
66505,6,0.000 ,0.025 ,12141.700 
12081,6,0.000 ,0.006 ,22402.825 
6326,2,0.000 ,0.002 ,0.000 
14035,2,0.000 ,0.002 ,0.000 
15238,8,0.000 ,0.014 ,42203.138 
21834,10,0.000 ,0.017 ,18818.021 
42856,13,0.000 ,0.016 ,78594.909 
65697,3,0.000 ,0.002 ,27351.547 
4305,4,0.000 ,0.009 ,4730.486 
19921,8,0.000 ,0.018 ,32375.126 
20449,11,0.000 ,0.013 ,42420.271 
23939,5,0.000 ,0.009 ,2030.335 
24872,3,0.000 ,0.005 ,5364.287 
29334,6,0.000 ,0.006 ,74944.844 
29950,5,0.000 ,0.007 ,596.243 
40924,11,0.000 ,0.037 ,117424.607 
42260,10,0.000 ,0.014 ,37798.988 
50213,16,0.000 ,0.026 ,110709.224 
55575,2,0.000 ,0.004 ,0.000 
64612,5,0.000 ,0.014 ,9356.802 
11580,7,0.000 ,0.029 ,23406.953 
2009,9,0.000 ,0.018 ,23362.497 
7346,13,0.000 ,0.021 ,57232.685 
26913,28,0.000 ,0.136 ,207292.903 
30160,49,0.001 ,0.272 ,360282.373 
40852,15,0.000 ,0.037 ,112690.476 
52827,4,0.000 ,0.006 ,1599.725 
65137,3,0.000 ,0.012 ,0.000 
2834,2,0.000 ,0.013 ,0.000 
5029,24,0.000 ,0.128 ,124332.966 
9390,24,0.000 ,0.109 ,111289.580 
9605,13,0.000 ,0.063 ,111444.092 
10631,6,0.000 ,0.031 ,5471.645 
14245,4,0.000 ,0.021 ,3511.432 
15197,10,0.000 ,0.022 ,39699.647 
19734,12,0.000 ,0.066 ,13962.452 
26554,2,0.000 ,0.009 ,0.000 
27652,31,0.000 ,0.176 ,186595.639 
29181,15,0.000 ,0.112 ,49852.937 
35372,2,0.000 ,0.011 ,0.000 
45521,13,0.000 ,0.063 ,79774.331 
46695,22,0.000 ,0.225 ,84804.145 
47357,10,0.000 ,0.038 ,17460.768 
55570,13,0.000 ,0.065 ,63436.197 
58188,12,0.000 ,0.048 ,24375.568 
65619,2,0.000 ,0.010 ,0.000 
67802,11,0.000 ,0.046 ,49246.997 
2424,9,0.000 ,0.011 ,33873.029 
12015,8,0.000 ,0.022 ,23724.916 
18866,2,0.000 ,0.004 ,0.000 
19102,4,0.000 ,0.004 ,17270.000 
22790,2,0.000 ,0.003 ,0.000 
31944,19,0.000 ,0.038 ,202396.967 
33090,20,0.000 ,0.041 ,137005.200 
61192,3,0.000 ,0.007 ,0.000 
62514,2,0.000 ,0.005 ,2720.797 
20338,14,0.000 ,0.029 ,58315.816 
1268,22,0.000 ,0.045 ,177496.723 
5201,8,0.000 ,0.013 ,31373.258 
11203,4,0.000 ,0.007 ,2855.090 
23485,4,0.000 ,0.007 ,228.450 
23499,4,0.000 ,0.010 ,1662.641 
26530,13,0.000 ,0.056 ,24173.318 
35178,10,0.000 ,0.041 ,48853.791 
37066,2,0.000 ,0.006 ,0.000 
45079,21,0.000 ,0.124 ,70574.624 
50437,3,0.000 ,0.006 ,0.000 
51791,8,0.000 ,0.016 ,29738.070 
56424,15,0.000 ,0.017 ,69329.319 
56504,13,0.000 ,0.027 ,71442.239 
2619,11,0.000 ,0.020 ,77035.939 
13939,4,0.000 ,0.005 ,0.000 
15106,6,0.000 ,0.007 ,969.263 
15460,9,0.000 ,0.012 ,31606.974 
26757,1,0.000 ,0.002 ,0.000 
37799,11,0.000 ,0.011 ,46753.627 
43482,1,0.000 ,0.002 ,0.000 
43551,2,0.000 ,0.003 ,0.000 
51109,2,0.000 ,0.003 ,0.000 
53441,4,0.000 ,0.005 ,0.000 
65621,5,0.000 ,0.006 ,5881.926 
35835,23,0.000 ,0.050 ,173556.287 
1481,29,0.001 ,0.092 ,364973.868 
2934,16,0.000 ,0.047 ,169404.610 
3624,23,0.000 ,0.056 ,130513.071 
6495,5,0.000 ,0.008 ,0.000 
10170,23,0.000 ,0.085 ,334663.758 
26220,15,0.000 ,0.059 ,64342.033 
30361,1,0.000 ,0.004 ,0.000 
31240,10,0.000 ,0.014 ,17598.621 
38074,7,0.000 ,0.010 ,4629.666 
40907,3,0.000 ,0.007 ,0.000 
43740,2,0.000 ,0.005 ,0.000 
43776,8,0.000 ,0.016 ,41260.459 
48411,5,0.000 ,0.008 ,0.000 
48823,11,0.000 ,0.042 ,96186.820 
51246,3,0.000 ,0.011 ,0.000 
57295,8,0.000 ,0.010 ,7874.479 
58006,23,0.000 ,0.086 ,127723.119 
58748,2,0.000 ,0.006 ,0.000 
61364,6,0.000 ,0.010 ,3024.251 
67569,20,0.000 ,0.027 ,149100.186 
36679,16,0.000 ,0.017 ,174291.203 
290,13,0.000 ,0.077 ,85070.764 
5800,3,0.000 ,0.041 ,0.000 
5997,4,0.000 ,0.032 ,1959.303 
8188,21,0.000 ,0.140 ,75060.993 
8660,24,0.000 ,0.067 ,144061.288 
11040,10,0.000 ,0.077 ,20200.878 
11442,8,0.000 ,0.071 ,15000.521 
18109,24,0.000 ,0.086 ,266236.324 
24259,8,0.000 ,0.054 ,9418.985 
31271,8,0.000 ,0.030 ,55257.629 
31612,17,0.000 ,0.100 ,18450.523 
31990,3,0.000 ,0.020 ,0.000 
32803,8,0.000 ,0.025 ,16532.971 
33029,14,0.000 ,0.088 ,19650.062 
34926,31,0.000 ,0.175 ,229352.459 
44572,4,0.000 ,0.021 ,0.000 
50972,4,0.000 ,0.031 ,8636.000 
51763,5,0.000 ,0.022 ,10690.596 
64787,20,0.000 ,0.110 ,45360.033 
457,15,0.000 ,0.116 ,16687.560 
1025,8,0.000 ,0.045 ,26782.530 
4087,6,0.000 ,0.061 ,0.000 
6671,8,0.000 ,0.069 ,7847.909 
7127,8,0.000 ,0.076 ,27283.358 
7272,5,0.000 ,0.028 ,119.253 
16522,3,0.000 ,0.027 ,0.000 
17667,25,0.000 ,0.090 ,219530.739 
18678,2,0.000 ,0.028 ,0.000 
20519,15,0.000 ,0.126 ,8690.845 
22107,14,0.000 ,0.068 ,38159.382 
27587,43,0.001 ,0.314 ,183086.110 
27910,18,0.000 ,0.094 ,125548.148 
36907,5,0.000 ,0.028 ,106.366 
39402,9,0.000 ,0.050 ,16585.871 
39803,12,0.000 ,0.095 ,14537.606 
44820,14,0.000 ,0.081 ,30217.001 
46237,23,0.000 ,0.103 ,74845.704 
47869,6,0.000 ,0.028 ,15459.244 
48851,17,0.000 ,0.061 ,82263.005 
58240,6,0.000 ,0.033 ,502.909 
58702,7,0.000 ,0.042 ,2062.195 
61129,17,0.000 ,0.140 ,34925.249 
61942,16,0.000 ,0.092 ,68633.394 
64507,7,0.000 ,0.031 ,72430.646 
66882,25,0.000 ,0.091 ,146306.267 
67790,9,0.000 ,0.048 ,12510.831 
5263,23,0.000 ,0.117 ,167540.716 
302,3,0.000 ,0.009 ,9972.617 
9494,9,0.000 ,0.026 ,28599.650 
14347,1,0.000 ,0.006 ,0.000 
17378,3,0.000 ,0.014 ,337.462 
21858,23,0.000 ,0.153 ,136412.542 
23013,10,0.000 ,0.021 ,31916.230 
23054,12,0.000 ,0.041 ,48027.422 
24697,25,0.000 ,0.098 ,140704.541 
33866,3,0.000 ,0.011 ,5977.067 
38964,4,0.000 ,0.010 ,15190.760 
44515,37,0.001 ,0.136 ,477205.069 
56382,11,0.000 ,0.046 ,38222.638 
63219,2,0.000 ,0.014 ,0.000 
65486,22,0.000 ,0.126 ,135905.352 
68302,6,0.000 ,0.025 ,9702.872 
159,8,0.000 ,0.011 ,28893.554 
23018,7,0.000 ,0.010 ,22868.503 
27723,18,0.000 ,0.038 ,51689.080 
52364,6,0.000 ,0.017 ,5020.941 
53268,17,0.000 ,0.025 ,68767.200 
54815,2,0.000 ,0.004 ,0.000 
61338,3,0.000 ,0.006 ,0.000 
66513,9,0.000 ,0.020 ,27090.571 
5830,1,0.000 ,0.003 ,0.000 
9356,16,0.000 ,0.054 ,60326.355 
18844,33,0.001 ,0.120 ,426357.336 
21380,34,0.000 ,0.176 ,286953.926 
30478,11,0.000 ,0.053 ,38297.549 
33384,21,0.000 ,0.040 ,105151.060 
42341,12,0.000 ,0.052 ,36014.754 
51028,28,0.000 ,0.125 ,177989.231 
51204,9,0.000 ,0.018 ,11302.241 
6700,13,0.000 ,0.033 ,68241.809 
2198,5,0.000 ,0.010 ,528.644 
8495,12,0.000 ,0.018 ,36653.759 
9935,4,0.000 ,0.013 ,6242.386 
38161,11,0.000 ,0.011 ,34475.630 
38767,13,0.000 ,0.049 ,77841.490 
41534,12,0.000 ,0.015 ,54248.869 
43226,43,0.001 ,0.184 ,847438.664 
50685,2,0.000 ,0.004 ,0.000 
54076,14,0.000 ,0.056 ,58927.518 
58712,4,0.000 ,0.007 ,0.000 
12639,25,0.000 ,0.105 ,237916.302 
16411,17,0.000 ,0.053 ,44572.015 
25404,2,0.000 ,0.006 ,0.000 
53029,2,0.000 ,0.009 ,0.000 
64908,13,0.000 ,0.024 ,107785.929 
65797,5,0.000 ,0.021 ,13414.223 
5544,22,0.000 ,0.093 ,93809.375 
10553,3,0.000 ,0.007 ,4855.718 
8391,18,0.000 ,0.030 ,117612.844 
31328,3,0.000 ,0.005 ,8636.000 
6541,1,0.000 ,0.001 ,0.000 
249,3,0.000 ,0.006 ,4876.347 
643,35,0.001 ,0.131 ,471265.942 
8012,11,0.000 ,0.027 ,58541.127 
8484,5,0.000 ,0.007 ,22152.565 
12357,6,0.000 ,0.015 ,14304.631 
16535,9,0.000 ,0.017 ,29100.815 
17543,16,0.000 ,0.020 ,85627.598 
21342,4,0.000 ,0.010 ,8052.872 
24144,12,0.000 ,0.030 ,95442.914 
37967,2,0.000 ,0.005 ,0.000 
40906,2,0.000 ,0.004 ,0.000 
46850,14,0.000 ,0.070 ,73965.816 
49118,6,0.000 ,0.013 ,9451.881 
50842,2,0.000 ,0.004 ,0.000 
56608,5,0.000 ,0.008 ,17727.209 
56623,6,0.000 ,0.014 ,4016.094 
63216,4,0.000 ,0.009 ,4148.414 
97,30,0.001 ,0.044 ,459567.404 
116,14,0.000 ,0.024 ,46313.443 
442,4,0.000 ,0.011 ,24029.997 
1301,3,0.000 ,0.007 ,1693.559 
3682,17,0.000 ,0.026 ,127487.869 
6902,3,0.000 ,0.007 ,0.000 
7491,7,0.000 ,0.015 ,39620.056 
10852,1,0.000 ,0.004 ,0.000 
11185,3,0.000 ,0.007 ,0.000 
11599,14,0.000 ,0.028 ,129356.227 
12697,12,0.000 ,0.035 ,89336.325 
16026,13,0.000 ,0.013 ,128688.757 
16427,3,0.000 ,0.009 ,11115.693 
16933,7,0.000 ,0.008 ,47619.036 
22605,10,0.000 ,0.015 ,79278.900 
28998,3,0.000 ,0.007 ,0.000 
34633,10,0.000 ,0.012 ,84669.531 
37152,25,0.000 ,0.054 ,396306.465 
39174,2,0.000 ,0.006 ,0.000 
40272,8,0.000 ,0.032 ,38582.616 
40317,2,0.000 ,0.006 ,0.000 
51548,14,0.000 ,0.039 ,130303.129 
52695,4,0.000 ,0.008 ,210.024 
56800,3,0.000 ,0.005 ,15290.681 
58019,8,0.000 ,0.016 ,16334.649 
58376,10,0.000 ,0.027 ,78568.384 
59111,2,0.000 ,0.006 ,0.000 
59834,10,0.000 ,0.011 ,135931.128 
67415,10,0.000 ,0.023 ,52389.434 
68280,2,0.000 ,0.006 ,0.000 
18130,2,0.000 ,0.003 ,0.000 
20749,2,0.000 ,0.003 ,0.000 
63272,9,0.000 ,0.011 ,24873.200 
215,15,0.000 ,0.028 ,35629.007 
702,16,0.000 ,0.038 ,176094.201 
818,9,0.000 ,0.015 ,30904.037 
7743,2,0.000 ,0.004 ,0.000 
11660,22,0.000 ,0.046 ,258634.915 
14103,10,0.000 ,0.014 ,27836.884 
24558,9,0.000 ,0.021 ,35263.529 
56475,4,0.000 ,0.010 ,4424.819 
63850,21,0.000 ,0.038 ,154758.960 
7901,7,0.000 ,0.009 ,24746.092 
23236,12,0.000 ,0.015 ,69150.788 
44598,2,0.000 ,0.003 ,0.000 
58689,4,0.000 ,0.005 ,1969.690 
59197,4,0.000 ,0.004 ,4315.500 
60184,10,0.000 ,0.012 ,43102.172 
66518,8,0.000 ,0.007 ,38847.500 
52419,28,0.000 ,0.064 ,232511.078 
12799,21,0.000 ,0.057 ,148368.469 
23659,6,0.000 ,0.012 ,16580.157 
25948,9,0.000 ,0.017 ,70072.097 
29715,41,0.001 ,0.168 ,342907.297 
30808,5,0.000 ,0.011 ,4820.374 
33755,30,0.000 ,0.178 ,226422.515 
38011,6,0.000 ,0.013 ,26436.089 
38374,5,0.000 ,0.010 ,768.853 
39648,2,0.000 ,0.008 ,0.000 
41823,4,0.000 ,0.010 ,252.244 
42378,6,0.000 ,0.025 ,41011.201 
43393,13,0.000 ,0.026 ,85853.651 
43541,11,0.000 ,0.023 ,47780.018 
44029,7,0.000 ,0.015 ,2871.104 
52429,9,0.000 ,0.025 ,19417.501 
52463,3,0.000 ,0.006 ,0.000 
56014,6,0.000 ,0.023 ,5254.932 
56097,2,0.000 ,0.005 ,0.000 
59220,3,0.000 ,0.006 ,0.000 
59861,5,0.000 ,0.015 ,3376.975 
60216,16,0.000 ,0.029 ,90207.883 
61425,3,0.000 ,0.008 ,0.000 
62668,5,0.000 ,0.012 ,5443.889 
67052,9,0.000 ,0.043 ,62530.237 
2127,1,0.000 ,0.002 ,0.000 
12267,4,0.000 ,0.016 ,0.000 
25931,1,0.000 ,0.002 ,0.000 
28489,6,0.000 ,0.023 ,1422.875 
43430,1,0.000 ,0.002 ,0.000 
55387,28,0.000 ,0.153 ,195156.914 
55961,2,0.000 ,0.003 ,0.000 
59343,21,0.000 ,0.077 ,35475.289 
62313,3,0.000 ,0.003 ,8636.000 
66585,4,0.000 ,0.006 ,17328.714 
66624,1,0.000 ,0.002 ,0.000 
7660,10,0.000 ,0.072 ,11706.023 
12949,13,0.000 ,0.048 ,59769.401 
13052,20,0.000 ,0.111 ,68404.437 
15587,27,0.000 ,0.069 ,143965.115 
21394,2,0.000 ,0.011 ,0.000 
25569,29,0.000 ,0.199 ,38719.535 
36104,2,0.000 ,0.011 ,0.000 
37332,20,0.000 ,0.087 ,96697.859 
42234,2,0.000 ,0.014 ,26.329 
46791,1,0.000 ,0.008 ,0.000 
58887,23,0.000 ,0.167 ,42239.018 
62597,15,0.000 ,0.031 ,29512.329 
10225,6,0.000 ,0.022 ,8534.321 
16663,8,0.000 ,0.013 ,17468.546 
23700,4,0.000 ,0.005 ,0.000 
26981,5,0.000 ,0.006 ,0.250 
27434,13,0.000 ,0.053 ,45067.570 
56150,14,0.000 ,0.052 ,51102.917 
56237,6,0.000 ,0.015 ,9071.951 
58792,4,0.000 ,0.005 ,0.000 
64619,3,0.000 ,0.009 ,0.000 
65099,6,0.000 ,0.009 ,3605.712 
55811,3,0.000 ,0.025 ,2523.322 
5138,39,0.001 ,0.237 ,182018.204 
65013,20,0.000 ,0.074 ,119643.580 
16612,2,0.000 ,0.005 ,0.000 
29214,7,0.000 ,0.046 ,6051.553 
31319,7,0.000 ,0.027 ,581.802 
34463,16,0.000 ,0.048 ,12695.131 
35606,37,0.000 ,0.211 ,136884.387 
41378,13,0.000 ,0.052 ,23421.919 
48570,43,0.001 ,0.227 ,216540.228 
49096,8,0.000 ,0.029 ,1228.616 
50110,2,0.000 ,0.005 ,0.000 
51406,2,0.000 ,0.005 ,0.000 
54094,5,0.000 ,0.032 ,487.616 
55574,4,0.000 ,0.007 ,49491.334 
58588,27,0.000 ,0.183 ,101640.421 
60956,9,0.000 ,0.056 ,14908.592 
66466,12,0.000 ,0.063 ,13889.220 
66652,3,0.000 ,0.007 ,10444.338 
68111,38,0.001 ,0.087 ,373333.336 
68128,5,0.000 ,0.034 ,8065.880 
6672,2,0.000 ,0.005 ,0.000 
6738,21,0.000 ,0.046 ,98767.077 
18910,6,0.000 ,0.012 ,6891.714 
20176,4,0.000 ,0.009 ,499.559 
26028,7,0.000 ,0.013 ,9349.102 
31760,16,0.000 ,0.050 ,41364.732 
38203,18,0.000 ,0.029 ,122434.557 
55126,5,0.000 ,0.010 ,15598.524 
68400,8,0.000 ,0.014 ,63439.956 
68537,9,0.000 ,0.015 ,24642.082 
