Id,Name,degree,pageranks,eigencentrality,betweenesscentrality
157,57739,3,0.000 ,0.026 ,0.000 
158,58198,1,0.000 ,0.008 ,0.000 
159,6466,5,0.000 ,0.036 ,7315.929 
160,9207,20,0.000 ,0.147 ,13706.603 
161,9211,1,0.000 ,0.009 ,0.000 
162,12067,26,0.000 ,0.157 ,31505.144 
163,16164,54,0.001 ,0.351 ,402618.530 
164,17755,23,0.000 ,0.051 ,102281.751 
165,27312,34,0.000 ,0.278 ,74776.587 
166,28209,7,0.000 ,0.033 ,4995.243 
167,32800,18,0.000 ,0.093 ,104279.933 
168,36011,2,0.000 ,0.015 ,0.000 
169,36019,8,0.000 ,0.040 ,25701.970 
170,38656,14,0.000 ,0.098 ,39101.366 
171,39723,32,0.000 ,0.236 ,179114.534 
172,54519,30,0.000 ,0.107 ,237652.130 
173,55319,38,0.001 ,0.168 ,258483.598 
174,57174,2,0.000 ,0.015 ,0.000 
175,58769,11,0.000 ,0.038 ,20610.257 
176,64720,11,0.000 ,0.040 ,9144.821 
177,10849,12,0.000 ,0.058 ,6980.306 
178,14456,18,0.000 ,0.050 ,162370.833 
179,15993,11,0.000 ,0.053 ,25603.648 
180,21895,18,0.000 ,0.087 ,95648.906 
181,28970,2,0.000 ,0.009 ,0.000 
182,47703,9,0.000 ,0.048 ,14755.934 
183,54274,2,0.000 ,0.010 ,789.804 
184,66739,21,0.000 ,0.049 ,125788.868 
185,67464,9,0.000 ,0.041 ,22747.662 
186,11090,4,0.000 ,0.041 ,2130.571 
187,1227,23,0.000 ,0.076 ,101060.591 
188,3826,20,0.000 ,0.092 ,99456.879 
189,1693,3,0.000 ,0.019 ,1499.196 
190,2317,24,0.000 ,0.169 ,81827.905 
191,2658,9,0.000 ,0.068 ,3682.596 
192,5187,26,0.000 ,0.211 ,54956.461 
193,6647,6,0.000 ,0.028 ,20995.848 
194,7522,18,0.000 ,0.098 ,67536.817 
195,10597,8,0.000 ,0.038 ,193083.603 
196,11443,3,0.000 ,0.028 ,0.000 
197,12818,13,0.000 ,0.112 ,18668.773 
198,13093,18,0.000 ,0.099 ,23070.250 
199,16521,11,0.000 ,0.067 ,32160.723 
200,20994,29,0.000 ,0.221 ,178446.557 
201,21044,28,0.000 ,0.151 ,118305.847 
202,24959,28,0.000 ,0.186 ,109236.009 
203,26042,7,0.000 ,0.045 ,17947.352 
204,26654,4,0.000 ,0.019 ,17270.000 
205,27246,12,0.000 ,0.092 ,26599.698 
206,28320,19,0.000 ,0.132 ,40991.824 
207,28534,17,0.000 ,0.065 ,87200.554 
208,33200,20,0.000 ,0.152 ,19513.328 
209,33847,22,0.000 ,0.165 ,37273.356 
210,34305,7,0.000 ,0.043 ,38053.412 
211,34364,18,0.000 ,0.070 ,265563.247 
212,34891,12,0.000 ,0.070 ,71545.601 
213,35247,3,0.000 ,0.028 ,0.000 
214,42581,21,0.000 ,0.134 ,111586.168 
215,48773,13,0.000 ,0.094 ,13817.144 
216,49929,9,0.000 ,0.042 ,90571.630 
217,51277,6,0.000 ,0.040 ,598.971 
218,54369,15,0.000 ,0.059 ,162072.492 
219,54424,14,0.000 ,0.127 ,55765.065 
220,54785,44,0.001 ,0.363 ,141832.779 
221,58449,9,0.000 ,0.042 ,13430.078 
222,68711,27,0.000 ,0.134 ,225652.493 
223,2416,7,0.000 ,0.031 ,31756.500 
224,7859,38,0.001 ,0.105 ,191106.496 
225,10425,14,0.000 ,0.041 ,64742.097 
226,10740,2,0.000 ,0.019 ,0.000 
227,16455,8,0.000 ,0.032 ,2894.311 
228,17329,12,0.000 ,0.067 ,42499.707 
229,19740,4,0.000 ,0.026 ,13371.165 
230,21130,20,0.000 ,0.065 ,126348.022 
231,22838,36,0.000 ,0.263 ,222187.674 
232,23448,10,0.000 ,0.051 ,35666.796 
233,32368,25,0.000 ,0.157 ,98053.427 
234,35236,9,0.000 ,0.040 ,28550.344 
235,37482,17,0.000 ,0.107 ,79248.636 
236,38256,5,0.000 ,0.028 ,6737.360 
237,39608,1,0.000 ,0.015 ,0.000 
238,42595,12,0.000 ,0.071 ,16227.378 
239,46876,3,0.000 ,0.022 ,415.305 
240,48022,14,0.000 ,0.120 ,9106.540 
241,48024,2,0.000 ,0.020 ,0.000 
242,49794,18,0.000 ,0.085 ,42092.040 
243,50192,9,0.000 ,0.029 ,28586.711 
244,51707,4,0.000 ,0.045 ,0.000 
245,53316,7,0.000 ,0.026 ,26698.157 
246,55735,15,0.000 ,0.106 ,77556.271 
247,56559,18,0.000 ,0.168 ,23218.694 
248,60516,16,0.000 ,0.067 ,79288.715 
249,62245,8,0.000 ,0.051 ,39496.876 
250,63938,11,0.000 ,0.070 ,32961.722 
251,63966,18,0.000 ,0.098 ,40919.255 
252,66135,44,0.001 ,0.341 ,262923.154 
253,66505,6,0.000 ,0.025 ,12141.700 
254,12081,6,0.000 ,0.006 ,22402.825 
255,6326,2,0.000 ,0.002 ,0.000 
256,14035,2,0.000 ,0.002 ,0.000 
257,15238,8,0.000 ,0.014 ,42203.138 
258,21834,10,0.000 ,0.017 ,18818.021 
259,42856,13,0.000 ,0.016 ,78594.909 
260,65697,3,0.000 ,0.002 ,27351.547 
261,4305,4,0.000 ,0.009 ,4730.486 
262,19921,8,0.000 ,0.018 ,32375.126 
263,20449,11,0.000 ,0.013 ,42420.271 
264,23939,5,0.000 ,0.009 ,2030.335 
265,24872,3,0.000 ,0.005 ,5364.287 
266,29334,6,0.000 ,0.006 ,74944.844 
267,29950,5,0.000 ,0.007 ,596.243 
268,40924,11,0.000 ,0.037 ,117424.607 
269,42260,10,0.000 ,0.014 ,37798.988 
270,50213,16,0.000 ,0.026 ,110709.224 
271,55575,2,0.000 ,0.004 ,0.000 
272,64612,5,0.000 ,0.014 ,9356.802 
273,11580,7,0.000 ,0.029 ,23406.953 
274,2009,9,0.000 ,0.018 ,23362.497 
275,7346,13,0.000 ,0.021 ,57232.685 
276,26913,28,0.000 ,0.136 ,207292.903 
277,30160,49,0.001 ,0.272 ,360282.373 
278,40852,15,0.000 ,0.037 ,112690.476 
279,52827,4,0.000 ,0.006 ,1599.725 
280,65137,3,0.000 ,0.012 ,0.000 
281,2834,2,0.000 ,0.013 ,0.000 
282,5029,24,0.000 ,0.128 ,124332.966 
283,9390,24,0.000 ,0.109 ,111289.580 
284,9605,13,0.000 ,0.063 ,111444.092 
285,10631,6,0.000 ,0.031 ,5471.645 
286,14245,4,0.000 ,0.021 ,3511.432 
287,15197,10,0.000 ,0.022 ,39699.647 
288,19734,12,0.000 ,0.066 ,13962.452 
289,26554,2,0.000 ,0.009 ,0.000 
290,27652,31,0.000 ,0.176 ,186595.639 
291,29181,15,0.000 ,0.112 ,49852.937 
292,35372,2,0.000 ,0.011 ,0.000 
293,45521,13,0.000 ,0.063 ,79774.331 
294,46695,22,0.000 ,0.225 ,84804.145 
295,47357,10,0.000 ,0.038 ,17460.768 
296,55570,13,0.000 ,0.065 ,63436.197 
297,58188,12,0.000 ,0.048 ,24375.568 
298,65619,2,0.000 ,0.010 ,0.000 
299,67802,11,0.000 ,0.046 ,49246.997 
300,2424,9,0.000 ,0.011 ,33873.029 
301,12015,8,0.000 ,0.022 ,23724.916 
302,18866,2,0.000 ,0.004 ,0.000 
303,19102,4,0.000 ,0.004 ,17270.000 
304,22790,2,0.000 ,0.003 ,0.000 
305,31944,19,0.000 ,0.038 ,202396.967 
306,33090,20,0.000 ,0.041 ,137005.200 
307,61192,3,0.000 ,0.007 ,0.000 
308,62514,2,0.000 ,0.005 ,2720.797 
309,20338,14,0.000 ,0.029 ,58315.816 
310,1268,22,0.000 ,0.045 ,177496.723 
311,5201,8,0.000 ,0.013 ,31373.258 
312,11203,4,0.000 ,0.007 ,2855.090 
313,23485,4,0.000 ,0.007 ,228.450 
314,23499,4,0.000 ,0.010 ,1662.641 
315,26530,13,0.000 ,0.056 ,24173.318 
316,35178,10,0.000 ,0.041 ,48853.791 
317,37066,2,0.000 ,0.006 ,0.000 
318,45079,21,0.000 ,0.124 ,70574.624 
319,50437,3,0.000 ,0.006 ,0.000 
320,51791,8,0.000 ,0.016 ,29738.070 
321,56424,15,0.000 ,0.017 ,69329.319 
322,56504,13,0.000 ,0.027 ,71442.239 
323,2619,11,0.000 ,0.020 ,77035.939 
324,13939,4,0.000 ,0.005 ,0.000 
325,15106,6,0.000 ,0.007 ,969.263 
326,15460,9,0.000 ,0.012 ,31606.974 
327,26757,1,0.000 ,0.002 ,0.000 
328,37799,11,0.000 ,0.011 ,46753.627 
329,43482,1,0.000 ,0.002 ,0.000 
330,43551,2,0.000 ,0.003 ,0.000 
331,51109,2,0.000 ,0.003 ,0.000 
332,53441,4,0.000 ,0.005 ,0.000 
333,65621,5,0.000 ,0.006 ,5881.926 
334,35835,23,0.000 ,0.050 ,173556.287 
335,1481,29,0.001 ,0.092 ,364973.868 
336,2934,16,0.000 ,0.047 ,169404.610 
337,3624,23,0.000 ,0.056 ,130513.071 
338,6495,5,0.000 ,0.008 ,0.000 
339,10170,23,0.000 ,0.085 ,334663.758 
340,26220,15,0.000 ,0.059 ,64342.033 
341,30361,1,0.000 ,0.004 ,0.000 
342,31240,10,0.000 ,0.014 ,17598.621 
343,38074,7,0.000 ,0.010 ,4629.666 
344,40907,3,0.000 ,0.007 ,0.000 
345,43740,2,0.000 ,0.005 ,0.000 
346,43776,8,0.000 ,0.016 ,41260.459 
347,48411,5,0.000 ,0.008 ,0.000 
348,48823,11,0.000 ,0.042 ,96186.820 
349,51246,3,0.000 ,0.011 ,0.000 
350,57295,8,0.000 ,0.010 ,7874.479 
351,58006,23,0.000 ,0.086 ,127723.119 
352,58748,2,0.000 ,0.006 ,0.000 
353,61364,6,0.000 ,0.010 ,3024.251 
354,67569,20,0.000 ,0.027 ,149100.186 
355,36679,16,0.000 ,0.017 ,174291.203 
356,290,13,0.000 ,0.077 ,85070.764 
357,5800,3,0.000 ,0.041 ,0.000 
358,5997,4,0.000 ,0.032 ,1959.303 
359,8188,21,0.000 ,0.140 ,75060.993 
360,8660,24,0.000 ,0.067 ,144061.288 
361,11040,10,0.000 ,0.077 ,20200.878 
362,11442,8,0.000 ,0.071 ,15000.521 
363,18109,24,0.000 ,0.086 ,266236.324 
364,24259,8,0.000 ,0.054 ,9418.985 
365,31271,8,0.000 ,0.030 ,55257.629 
366,31612,17,0.000 ,0.100 ,18450.523 
367,31990,3,0.000 ,0.020 ,0.000 
368,32803,8,0.000 ,0.025 ,16532.971 
369,33029,14,0.000 ,0.088 ,19650.062 
370,34926,31,0.000 ,0.175 ,229352.459 
371,44572,4,0.000 ,0.021 ,0.000 
372,50972,4,0.000 ,0.031 ,8636.000 
373,51763,5,0.000 ,0.022 ,10690.596 
374,64787,20,0.000 ,0.110 ,45360.033 
375,457,15,0.000 ,0.116 ,16687.560 
376,1025,8,0.000 ,0.045 ,26782.530 
377,4087,6,0.000 ,0.061 ,0.000 
378,6671,8,0.000 ,0.069 ,7847.909 
379,7127,8,0.000 ,0.076 ,27283.358 
380,7272,5,0.000 ,0.028 ,119.253 
381,16522,3,0.000 ,0.027 ,0.000 
382,17667,25,0.000 ,0.090 ,219530.739 
383,18678,2,0.000 ,0.028 ,0.000 
384,20519,15,0.000 ,0.126 ,8690.845 
385,22107,14,0.000 ,0.068 ,38159.382 
386,27587,43,0.001 ,0.314 ,183086.110 
387,27910,18,0.000 ,0.094 ,125548.148 
388,36907,5,0.000 ,0.028 ,106.366 
389,39402,9,0.000 ,0.050 ,16585.871 
390,39803,12,0.000 ,0.095 ,14537.606 
391,44820,14,0.000 ,0.081 ,30217.001 
392,46237,23,0.000 ,0.103 ,74845.704 
393,47869,6,0.000 ,0.028 ,15459.244 
394,48851,17,0.000 ,0.061 ,82263.005 
395,58240,6,0.000 ,0.033 ,502.909 
396,58702,7,0.000 ,0.042 ,2062.195 
397,61129,17,0.000 ,0.140 ,34925.249 
398,61942,16,0.000 ,0.092 ,68633.394 
399,64507,7,0.000 ,0.031 ,72430.646 
400,66882,25,0.000 ,0.091 ,146306.267 
401,67790,9,0.000 ,0.048 ,12510.831 
402,5263,23,0.000 ,0.117 ,167540.716 
403,302,3,0.000 ,0.009 ,9972.617 
404,9494,9,0.000 ,0.026 ,28599.650 
405,14347,1,0.000 ,0.006 ,0.000 
406,17378,3,0.000 ,0.014 ,337.462 
407,21858,23,0.000 ,0.153 ,136412.542 
408,23013,10,0.000 ,0.021 ,31916.230 
409,23054,12,0.000 ,0.041 ,48027.422 
410,24697,25,0.000 ,0.098 ,140704.541 
411,33866,3,0.000 ,0.011 ,5977.067 
412,38964,4,0.000 ,0.010 ,15190.760 
413,44515,37,0.001 ,0.136 ,477205.069 
414,56382,11,0.000 ,0.046 ,38222.638 
415,63219,2,0.000 ,0.014 ,0.000 
416,65486,22,0.000 ,0.126 ,135905.352 
417,68302,6,0.000 ,0.025 ,9702.872 
418,159,8,0.000 ,0.011 ,28893.554 
419,23018,7,0.000 ,0.010 ,22868.503 
420,27723,18,0.000 ,0.038 ,51689.080 
421,52364,6,0.000 ,0.017 ,5020.941 
422,53268,17,0.000 ,0.025 ,68767.200 
423,54815,2,0.000 ,0.004 ,0.000 
424,61338,3,0.000 ,0.006 ,0.000 
425,66513,9,0.000 ,0.020 ,27090.571 
426,5830,1,0.000 ,0.003 ,0.000 
427,9356,16,0.000 ,0.054 ,60326.355 
428,18844,33,0.001 ,0.120 ,426357.336 
429,21380,34,0.000 ,0.176 ,286953.926 
430,30478,11,0.000 ,0.053 ,38297.549 
431,33384,21,0.000 ,0.040 ,105151.060 
432,42341,12,0.000 ,0.052 ,36014.754 
433,51028,28,0.000 ,0.125 ,177989.231 
434,51204,9,0.000 ,0.018 ,11302.241 
435,6700,13,0.000 ,0.033 ,68241.809 
436,2198,5,0.000 ,0.010 ,528.644 
437,8495,12,0.000 ,0.018 ,36653.759 
438,9935,4,0.000 ,0.013 ,6242.386 
439,38161,11,0.000 ,0.011 ,34475.630 
440,38767,13,0.000 ,0.049 ,77841.490 
441,41534,12,0.000 ,0.015 ,54248.869 
442,43226,43,0.001 ,0.184 ,847438.664 
443,50685,2,0.000 ,0.004 ,0.000 
444,54076,14,0.000 ,0.056 ,58927.518 
445,58712,4,0.000 ,0.007 ,0.000 
446,12639,25,0.000 ,0.105 ,237916.302 
447,16411,17,0.000 ,0.053 ,44572.015 
448,25404,2,0.000 ,0.006 ,0.000 
449,53029,2,0.000 ,0.009 ,0.000 
450,64908,13,0.000 ,0.024 ,107785.929 
451,65797,5,0.000 ,0.021 ,13414.223 
452,5544,22,0.000 ,0.093 ,93809.375 
453,10553,3,0.000 ,0.007 ,4855.718 
454,8391,18,0.000 ,0.030 ,117612.844 
455,31328,3,0.000 ,0.005 ,8636.000 
456,6541,1,0.000 ,0.001 ,0.000 
457,249,3,0.000 ,0.006 ,4876.347 
458,643,35,0.001 ,0.131 ,471265.942 
459,8012,11,0.000 ,0.027 ,58541.127 
460,8484,5,0.000 ,0.007 ,22152.565 
461,12357,6,0.000 ,0.015 ,14304.631 
462,16535,9,0.000 ,0.017 ,29100.815 
463,17543,16,0.000 ,0.020 ,85627.598 
464,21342,4,0.000 ,0.010 ,8052.872 
465,24144,12,0.000 ,0.030 ,95442.914 
466,37967,2,0.000 ,0.005 ,0.000 
467,40906,2,0.000 ,0.004 ,0.000 
468,46850,14,0.000 ,0.070 ,73965.816 
469,49118,6,0.000 ,0.013 ,9451.881 
470,50842,2,0.000 ,0.004 ,0.000 
471,56608,5,0.000 ,0.008 ,17727.209 
472,56623,6,0.000 ,0.014 ,4016.094 
473,63216,4,0.000 ,0.009 ,4148.414 
474,97,30,0.001 ,0.044 ,459567.404 
475,116,14,0.000 ,0.024 ,46313.443 
476,442,4,0.000 ,0.011 ,24029.997 
477,1301,3,0.000 ,0.007 ,1693.559 
478,3682,17,0.000 ,0.026 ,127487.869 
479,6902,3,0.000 ,0.007 ,0.000 
480,7491,7,0.000 ,0.015 ,39620.056 
481,10852,1,0.000 ,0.004 ,0.000 
482,11185,3,0.000 ,0.007 ,0.000 
483,11599,14,0.000 ,0.028 ,129356.227 
484,12697,12,0.000 ,0.035 ,89336.325 
485,16026,13,0.000 ,0.013 ,128688.757 
486,16427,3,0.000 ,0.009 ,11115.693 
487,16933,7,0.000 ,0.008 ,47619.036 
488,22605,10,0.000 ,0.015 ,79278.900 
489,28998,3,0.000 ,0.007 ,0.000 
490,34633,10,0.000 ,0.012 ,84669.531 
491,37152,25,0.000 ,0.054 ,396306.465 
492,39174,2,0.000 ,0.006 ,0.000 
493,40272,8,0.000 ,0.032 ,38582.616 
494,40317,2,0.000 ,0.006 ,0.000 
495,51548,14,0.000 ,0.039 ,130303.129 
496,52695,4,0.000 ,0.008 ,210.024 
497,56800,3,0.000 ,0.005 ,15290.681 
498,58019,8,0.000 ,0.016 ,16334.649 
499,58376,10,0.000 ,0.027 ,78568.384 
500,59111,2,0.000 ,0.006 ,0.000 
501,59834,10,0.000 ,0.011 ,135931.128 
502,67415,10,0.000 ,0.023 ,52389.434 
503,68280,2,0.000 ,0.006 ,0.000 
504,18130,2,0.000 ,0.003 ,0.000 
505,20749,2,0.000 ,0.003 ,0.000 
506,63272,9,0.000 ,0.011 ,24873.200 
507,215,15,0.000 ,0.028 ,35629.007 
508,702,16,0.000 ,0.038 ,176094.201 
509,818,9,0.000 ,0.015 ,30904.037 
510,7743,2,0.000 ,0.004 ,0.000 
511,11660,22,0.000 ,0.046 ,258634.915 
512,14103,10,0.000 ,0.014 ,27836.884 
513,24558,9,0.000 ,0.021 ,35263.529 
514,56475,4,0.000 ,0.010 ,4424.819 
515,63850,21,0.000 ,0.038 ,154758.960 
516,7901,7,0.000 ,0.009 ,24746.092 
517,23236,12,0.000 ,0.015 ,69150.788 
518,44598,2,0.000 ,0.003 ,0.000 
519,58689,4,0.000 ,0.005 ,1969.690 
520,59197,4,0.000 ,0.004 ,4315.500 
521,60184,10,0.000 ,0.012 ,43102.172 
522,66518,8,0.000 ,0.007 ,38847.500 
523,52419,28,0.000 ,0.064 ,232511.078 
524,12799,21,0.000 ,0.057 ,148368.469 
525,23659,6,0.000 ,0.012 ,16580.157 
526,25948,9,0.000 ,0.017 ,70072.097 
527,29715,41,0.001 ,0.168 ,342907.297 
528,30808,5,0.000 ,0.011 ,4820.374 
529,33755,30,0.000 ,0.178 ,226422.515 
530,38011,6,0.000 ,0.013 ,26436.089 
531,38374,5,0.000 ,0.010 ,768.853 
532,39648,2,0.000 ,0.008 ,0.000 
533,41823,4,0.000 ,0.010 ,252.244 
534,42378,6,0.000 ,0.025 ,41011.201 
535,43393,13,0.000 ,0.026 ,85853.651 
536,43541,11,0.000 ,0.023 ,47780.018 
537,44029,7,0.000 ,0.015 ,2871.104 
538,52429,9,0.000 ,0.025 ,19417.501 
539,52463,3,0.000 ,0.006 ,0.000 
540,56014,6,0.000 ,0.023 ,5254.932 
541,56097,2,0.000 ,0.005 ,0.000 
542,59220,3,0.000 ,0.006 ,0.000 
543,59861,5,0.000 ,0.015 ,3376.975 
544,60216,16,0.000 ,0.029 ,90207.883 
545,61425,3,0.000 ,0.008 ,0.000 
546,62668,5,0.000 ,0.012 ,5443.889 
547,67052,9,0.000 ,0.043 ,62530.237 
548,2127,1,0.000 ,0.002 ,0.000 
549,12267,4,0.000 ,0.016 ,0.000 
550,25931,1,0.000 ,0.002 ,0.000 
551,28489,6,0.000 ,0.023 ,1422.875 
552,43430,1,0.000 ,0.002 ,0.000 
553,55387,28,0.000 ,0.153 ,195156.914 
554,55961,2,0.000 ,0.003 ,0.000 
555,59343,21,0.000 ,0.077 ,35475.289 
556,62313,3,0.000 ,0.003 ,8636.000 
557,66585,4,0.000 ,0.006 ,17328.714 
558,66624,1,0.000 ,0.002 ,0.000 
559,7660,10,0.000 ,0.072 ,11706.023 
560,12949,13,0.000 ,0.048 ,59769.401 
561,13052,20,0.000 ,0.111 ,68404.437 
