Id,¶È,PageRank,Betweenness Centrality,Eigenvector Centrality
540,431,5.94E-04,11420808.1588 ,0.2614 
15,426,3.71E-04,4396561.9059 ,0.3450 
137,423,3.74E-04,6055332.4139 ,0.3318 
155,420,3.52E-04,2570655.4291 ,0.2954 
335,418,5.45E-04,11866146.6855 ,0.3572 
344,414,3.55E-04,3406074.2017 ,0.3512 
717,411,6.83E-04,23204563.5121 ,0.3339 
115,407,3.45E-04,5454216.6794 ,0.3036 
26,406,3.36E-04,2822249.4954 ,0.3188 
296,401,3.62E-04,6873225.9517 ,0.3622 
154,400,3.85E-04,4992241.5446 ,0.3457 
204,400,4.32E-04,6718061.9759 ,0.2757 
542,400,5.02E-04,12946077.2116 ,0.3174 
1244,394,3.77E-04,6787749.8093 ,0.2366 
2924,393,3.07E-04,3619107.5885 ,0.3004 
62,385,3.63E-04,5706411.9143 ,0.2887 
294,384,4.60E-04,10293070.7768 ,0.3863 
380,384,3.58E-04,3946018.7035 ,0.2776 
519,384,3.74E-04,6742213.3566 ,0.3441 
275,382,4.44E-04,9227455.6937 ,0.3293 
372,380,5.75E-04,14124683.0859 ,0.2860 
99,379,3.58E-04,4061172.8657 ,0.2959 
208,378,3.10E-04,2006708.8684 ,0.3082 
141,377,3.46E-04,4664942.4842 ,0.3447 
1139,375,5.16E-04,10734854.3694 ,0.3055 
149,371,3.60E-04,4454794.6208 ,0.2764 
8,368,3.18E-04,2722581.7912 ,0.2720 
374,365,3.77E-04,6274099.0223 ,0.3030 
77,362,3.04E-04,2119012.3810 ,0.3038 
303,361,3.41E-04,4293925.0881 ,0.2753 
100,358,3.15E-04,2636947.0688 ,0.2768 
98,357,3.38E-04,4734657.7372 ,0.2886 
144,356,3.66E-04,3918340.6757 ,0.2356 
61,355,3.00E-04,3183965.2033 ,0.3094 
734,355,2.89E-04,1903013.4861 ,0.2334 
165,354,4.50E-04,8847745.6503 ,0.3381 
231,354,8.47E-04,29676927.7235 ,0.3040 
487,353,5.20E-04,14444383.3773 ,0.2395 
945,353,3.33E-04,5508190.7525 ,0.2148 
371,352,3.34E-04,3626261.0090 ,0.2891 
322,351,3.91E-04,6662559.0188 ,0.2524 
81,350,3.33E-04,4963223.5779 ,0.2534 
338,350,2.99E-04,3324701.2525 ,0.2505 
277,347,3.89E-04,7533119.7988 ,0.3190 
2600,347,4.82E-04,12791381.9148 ,0.2224 
103,344,3.29E-04,4346030.1137 ,0.2984 
746,344,6.10E-04,14048519.1670 ,0.1821 
4275,344,4.56E-04,15568243.8426 ,0.1707 
2418,343,2.79E-04,4381202.7721 ,0.2573 
3595,343,4.20E-04,10821310.7885 ,0.1736 
417,340,3.29E-04,4816806.3883 ,0.2990 
75,339,2.97E-04,4411426.1973 ,0.2830 
492,339,4.98E-04,10269466.4905 ,0.2596 
703,338,3.82E-04,6806986.1272 ,0.2916 
287,332,3.98E-04,6160674.7643 ,0.2490 
357,332,3.54E-04,6120538.0117 ,0.2781 
787,332,2.74E-04,2064795.2070 ,0.2495 
160,329,2.98E-04,3481079.1474 ,0.2485 
647,329,3.11E-04,4441862.4937 ,0.2397 
171,328,2.98E-04,2418799.8340 ,0.2695 
18,327,2.59E-04,1606858.4298 ,0.1771 
55,327,4.40E-04,8813168.7228 ,0.3111 
123,326,2.87E-04,3302925.7650 ,0.2593 
199,326,3.61E-04,5523551.9434 ,0.2850 
1783,326,4.04E-04,6921222.8388 ,0.2711 
2609,325,3.12E-04,6310539.5073 ,0.2359 
4388,325,3.42E-04,9088900.5548 ,0.2067 
213,324,2.64E-04,1794364.9872 ,0.2514 
44,321,2.77E-04,2585358.4875 ,0.2686 
68,320,2.65E-04,2010848.8020 ,0.2897 
276,320,2.44E-04,1188973.1818 ,0.2529 
536,320,2.81E-04,2527777.0996 ,0.2542 
957,319,2.91E-04,4935138.7443 ,0.2531 
25,318,2.81E-04,2401358.0469 ,0.2622 
79,318,2.97E-04,3092296.0767 ,0.2519 
96,318,2.57E-04,1990940.5520 ,0.2272 
430,316,2.98E-04,3580358.4023 ,0.2525 
170,315,3.14E-04,3260890.7346 ,0.2451 
711,314,4.49E-04,8803552.7453 ,0.2472 
4276,314,4.34E-04,13267768.6937 ,0.2252 
434,312,2.81E-04,2979429.6290 ,0.2894 
45,311,5.34E-04,13787865.4616 ,0.2512 
489,311,6.00E-04,15520770.4888 ,0.2995 
158,310,2.74E-04,2821581.5395 ,0.2673 
368,310,2.92E-04,2857012.8209 ,0.2063 
615,307,4.55E-04,10027078.8926 ,0.2795 
2902,307,6.18E-04,16516327.6462 ,0.2155 
97,306,2.57E-04,1633276.0503 ,0.2514 
1134,305,4.10E-04,8767906.0928 ,0.2801 
422,304,2.77E-04,2039444.6803 ,0.2477 
526,304,2.59E-04,2809855.9917 ,0.2913 
59,303,2.83E-04,3550432.3980 ,0.2443 
163,303,4.40E-04,11255279.9086 ,0.2704 
216,303,4.17E-04,7307251.6023 ,0.1920 
1961,301,8.77E-04,30408635.6204 ,0.2792 
153,300,2.24E-04,729823.7552 ,0.2360 
1144,298,3.55E-04,6156739.5534 ,0.2773 
1634,297,2.43E-04,3145647.8195 ,0.1849 
1972,297,3.21E-04,4936181.9416 ,0.2229 
2646,296,4.62E-04,12116569.3114 ,0.2679 
316,295,3.46E-04,4236971.6447 ,0.1922 
643,293,2.80E-04,3681671.1962 ,0.1916 
39,292,2.37E-04,1305608.4223 ,0.2048 
629,292,2.46E-04,1650528.9749 ,0.2212 
938,291,2.51E-04,2803997.6343 ,0.2119 
2127,291,2.60E-04,4136474.1818 ,0.2260 
22,290,2.32E-04,1520842.6342 ,0.2415 
2868,290,3.01E-04,5722356.2296 ,0.2094 
161,288,3.20E-04,5044304.5903 ,0.2148 
715,287,3.53E-04,6133766.5384 ,0.2096 
962,287,3.28E-04,7300522.6006 ,0.1655 
1601,287,2.86E-04,4167377.9978 ,0.1852 
67,286,2.39E-04,1998756.9331 ,0.2296 
200,286,2.54E-04,2320659.1432 ,0.2364 
566,286,5.03E-04,12895522.1261 ,0.2272 
2085,286,5.16E-04,13830158.5545 ,0.1330 
41,285,2.49E-04,1625515.1197 ,0.1847 
152,285,2.08E-04,786689.6568 ,0.1780 
119,284,2.23E-04,1425317.6234 ,0.2255 
181,284,3.79E-04,6741407.6006 ,0.2162 
269,284,3.67E-04,7231010.4647 ,0.2337 
609,284,3.22E-04,4698825.0424 ,0.2333 
176,282,2.27E-04,1253281.8040 ,0.2179 
652,281,2.31E-04,1452107.4121 ,0.2005 
1437,281,2.86E-04,4088001.8470 ,0.2478 
649,280,2.71E-04,3594140.5744 ,0.2142 
1198,280,3.36E-04,6295895.2366 ,0.2590 
47,279,2.41E-04,2004425.9562 ,0.2168 
631,279,2.55E-04,2447654.7350 ,0.2513 
1704,278,3.24E-04,4651803.5812 ,0.1693 
4557,278,5.30E-04,14962460.9053 ,0.1038 
108,277,3.62E-04,7765528.0839 ,0.2728 
479,277,2.71E-04,2869607.5385 ,0.2159 
481,277,3.13E-04,4974571.5375 ,0.2166 
2003,277,2.65E-04,3891282.0687 ,0.1931 
2509,277,2.88E-04,4276976.0997 ,0.2766 
126,276,3.78E-04,8363189.8627 ,0.2271 
21,275,2.23E-04,2079400.8560 ,0.2361 
507,275,3.74E-04,6135088.5509 ,0.1834 
1161,275,2.92E-04,3737172.0129 ,0.2485 
42,274,3.64E-04,5023165.0801 ,0.1658 
283,274,2.31E-04,1943316.6441 ,0.2280 
226,273,3.38E-04,5279042.3738 ,0.2236 
934,273,2.68E-04,5077711.0647 ,0.2067 
1174,273,2.94E-04,4723139.3540 ,0.2355 
317,272,3.33E-04,5762368.7692 ,0.2363 
89,271,2.36E-04,1960245.7774 ,0.2275 
146,271,2.09E-04,1203511.9501 ,0.2487 
568,271,3.19E-04,5932292.9455 ,0.2098 
4131,271,7.76E-04,17389922.5578 ,0.0603 
136,270,2.54E-04,2755562.6741 ,0.2484 
3997,270,2.63E-04,4881056.6345 ,0.1771 
57,268,2.35E-04,2403210.6602 ,0.2509 
946,267,2.75E-04,5667350.0210 ,0.1834 
2537,267,2.52E-04,4311018.0063 ,0.1935 
407,265,3.64E-04,7778797.9473 ,0.2057 
478,265,3.37E-04,5539182.7071 ,0.2340 
6,264,2.21E-04,1575859.3121 ,0.2203 
806,264,2.25E-04,2021395.2186 ,0.1893 
4076,264,2.96E-04,6669638.5691 ,0.1449 
713,263,2.42E-04,2633528.2165 ,0.2018 
92,262,2.52E-04,3291324.0971 ,0.2659 
349,262,1.99E-04,1117861.7881 ,0.2274 
522,262,2.77E-04,2844293.3276 ,0.2052 
2114,262,2.94E-04,6059774.1771 ,0.1007 
233,261,2.48E-04,2418511.7966 ,0.2132 
534,261,2.54E-04,4097150.5503 ,0.2533 
622,261,2.93E-04,3349572.7624 ,0.2329 
2999,261,2.49E-04,2886865.2799 ,0.1700 
54,259,2.38E-04,2513616.9208 ,0.2262 
64,259,2.11E-04,1360618.6752 ,0.2244 
201,259,2.42E-04,2597656.3243 ,0.1852 
955,259,2.92E-04,4264847.5370 ,0.2000 
101,258,2.45E-04,1872409.0811 ,0.1973 
630,258,3.17E-04,5915875.9420 ,0.2180 
202,256,2.20E-04,1622563.9104 ,0.2427 
709,256,2.95E-04,4314885.4065 ,0.2146 
273,255,2.19E-04,1566024.1095 ,0.1703 
1082,255,2.57E-04,4559426.4530 ,0.2442 
1841,255,2.25E-04,2976777.2412 ,0.1945 
456,254,2.84E-04,3693524.7239 ,0.1992 
2001,254,2.79E-04,3797901.7187 ,0.2291 
777,253,1.98E-04,1757239.6017 ,0.1887 
143,252,2.01E-04,1020423.1383 ,0.2363 
280,252,2.41E-04,3140615.7048 ,0.2239 
223,251,2.20E-04,1534004.3759 ,0.1798 
366,250,2.15E-04,2296689.1736 ,0.1645 
1466,250,3.36E-04,7858008.8700 ,0.2101 
142,249,2.54E-04,3097779.2525 ,0.2044 
766,249,2.47E-04,3436186.8369 ,0.1951 
1145,249,2.36E-04,2718669.7361 ,0.1776 
3067,249,2.58E-04,4578021.0081 ,0.1501 
3247,249,2.86E-04,6314202.8918 ,0.1270 
29,248,2.11E-04,1614284.9046 ,0.2276 
206,248,2.04E-04,2453360.2143 ,0.1858 
547,248,3.19E-04,4807147.4977 ,0.1770 
4346,248,3.65E-04,10561793.7911 ,0.0881 
1226,247,1.88E-04,1272612.7642 ,0.2292 
496,246,3.17E-04,4870852.0144 ,0.1953 
924,246,2.36E-04,2858156.5663 ,0.1923 
2426,246,3.44E-04,5211261.5586 ,0.1637 
74,245,2.16E-04,1657048.3646 ,0.2462 
267,245,2.45E-04,2157822.5977 ,0.1457 
563,245,8.22E-04,22515665.3774 ,0.2178 
190,244,2.41E-04,2780158.9167 ,0.1861 
701,244,2.87E-04,4770977.4560 ,0.2297 
2601,244,3.11E-04,7120815.5852 ,0.1187 
500,243,3.32E-04,6123645.4798 ,0.2058 
35,242,2.37E-04,3132446.4030 ,0.2268 
189,242,2.17E-04,1814424.0103 ,0.2424 
347,242,3.31E-04,5136725.4532 ,0.1539 
706,242,2.85E-04,3507811.5987 ,0.1803 
2678,241,2.14E-04,2644400.7377 ,0.1547 
600,239,3.98E-04,9459125.2153 ,0.2362 
653,239,1.96E-04,1239106.2724 ,0.1716 
229,238,2.69E-04,4544865.3088 ,0.1941 
490,238,3.65E-04,6626756.7308 ,0.1902 
109,237,1.96E-04,1429001.6562 ,0.1665 
9,236,3.33E-04,5341246.5445 ,0.1714 
113,236,1.95E-04,1108414.8738 ,0.2096 
321,236,2.96E-04,3712651.7136 ,0.1730 
564,236,2.87E-04,5492374.2945 ,0.2003 
594,236,2.73E-04,3896638.8508 ,0.2069 
1525,235,5.36E-04,12696007.7728 ,0.1784 
4345,235,3.87E-04,10704881.1864 ,0.0860 
20,234,1.94E-04,1233952.9051 ,0.1987 
46,234,1.90E-04,1037518.7396 ,0.1751 
425,234,2.00E-04,1395421.1356 ,0.2075 
2916,234,2.08E-04,2487527.0340 ,0.1821 
3797,234,2.20E-04,3516844.4276 ,0.1564 
640,233,1.95E-04,1109074.8563 ,0.1882 
735,233,2.85E-04,3427852.7780 ,0.2235 
2666,233,2.17E-04,3932574.4038 ,0.1584 
3256,233,4.78E-04,14730010.6575 ,0.2112 
17,232,2.24E-04,2612419.9422 ,0.2015 
475,232,2.35E-04,1987025.9477 ,0.1935 
2104,232,2.84E-04,3621869.2650 ,0.2107 
51,231,2.07E-04,1158038.9522 ,0.1944 
421,231,1.69E-04,679288.5558 ,0.2148 
1129,231,2.47E-04,3882264.2939 ,0.2024 
1752,230,2.30E-04,3166822.3634 ,0.2011 
60,228,5.53E-04,13891921.0882 ,0.2212 
334,228,3.39E-04,8425334.3152 ,0.1791 
1484,228,2.19E-04,2789341.4849 ,0.2277 
1428,227,2.03E-04,1788177.2332 ,0.2155 
2968,227,2.21E-04,2716972.5499 ,0.1595 
279,226,1.63E-04,438882.2666 ,0.1808 
2212,226,2.73E-04,5780046.9823 ,0.1174 
120,225,1.98E-04,1523440.5811 ,0.2096 
559,225,5.14E-04,14120938.7942 ,0.1858 
602,225,2.36E-04,4501657.2572 ,0.1504 
2469,225,3.26E-04,5889435.2732 ,0.1591 
1164,224,2.55E-04,5711405.8310 ,0.1581 
420,223,1.79E-04,1528484.1319 ,0.1652 
464,223,1.83E-04,1229171.9631 ,0.1576 
565,223,1.80E-04,746129.1547 ,0.1687 
943,223,1.75E-04,1346279.3065 ,0.1625 
2788,222,2.46E-04,4978965.1538 ,0.1413 
65,221,2.15E-04,2327420.4618 ,0.2071 
299,221,2.23E-04,3539258.2043 ,0.1790 
1141,221,2.59E-04,2950549.1568 ,0.1991 
1475,221,2.55E-04,2568104.6946 ,0.1765 
198,220,1.98E-04,1484088.9881 ,0.1877 
650,220,2.19E-04,2305440.7834 ,0.1979 
7,219,1.59E-04,519777.8065 ,0.2023 
50,219,2.17E-04,2290350.1727 ,0.2006 
274,219,1.93E-04,1368369.0721 ,0.1885 
8496,219,2.14E-04,3809761.6358 ,0.1304 
33,218,1.74E-04,682308.6466 ,0.1726 
541,218,2.93E-04,4739673.9856 ,0.1573 
1590,218,4.39E-04,10724968.3888 ,0.1614 
413,217,2.98E-04,5593933.0838 ,0.1105 
1454,217,2.66E-04,3952961.4139 ,0.1855 
4948,217,2.10E-04,1894073.5227 ,0.1675 
842,216,3.01E-04,5011230.7118 ,0.1824 
992,216,3.01E-04,4702534.6354 ,0.1714 
2136,215,9.36E-04,27982462.7537 ,0.2005 
345,214,1.72E-04,915539.2064 ,0.1663 
636,214,1.98E-04,1611582.4874 ,0.1550 
71,213,1.79E-04,1457541.7016 ,0.1584 
187,213,1.89E-04,1327071.1078 ,0.1754 
288,213,2.06E-04,1637606.1943 ,0.1676 
512,213,4.15E-04,10619062.4650 ,0.1729 
714,213,1.69E-04,854884.3244 ,0.1452 
116,212,2.25E-04,2357534.1264 ,0.1763 
1036,212,2.84E-04,5998731.5512 ,0.1326 
1177,212,2.50E-04,2705326.9766 ,0.1816 
1178,212,1.77E-04,1119687.4479 ,0.1783 
2515,212,2.67E-04,3632024.9667 ,0.1455 
88,210,3.01E-04,5117888.4554 ,0.1745 
558,210,2.18E-04,3510313.4254 ,0.1840 
626,210,1.70E-04,989469.0240 ,0.1896 
4340,210,1.84E-04,3343480.1646 ,0.1713 
569,209,2.76E-04,5003659.2586 ,0.1775 
1040,209,2.38E-04,3800127.9227 ,0.1254 
3444,209,2.00E-04,2454229.8637 ,0.1802 
535,208,2.78E-04,4484705.9315 ,0.1629 
743,208,2.72E-04,3761753.1181 ,0.1767 
1010,208,2.53E-04,3680606.5849 ,0.1465 
1384,208,2.72E-04,4796255.8953 ,0.1137 
1981,208,2.52E-04,2932234.4554 ,0.1620 
3243,208,2.39E-04,4511690.7450 ,0.1347 
697,207,4.31E-04,10027024.3571 ,0.1704 
1227,207,1.78E-04,1414718.0770 ,0.1739 
290,206,1.52E-04,437525.7641 ,0.1761 
1974,206,2.15E-04,3963994.1162 ,0.1560 
1091,205,2.20E-04,2674245.0113 ,0.1777 
2645,205,2.84E-04,4160758.8740 ,0.1593 
72,204,1.81E-04,2202313.8164 ,0.1660 
159,204,1.87E-04,1146219.7514 ,0.1551 
193,204,1.59E-04,912136.6599 ,0.1157 
665,204,1.59E-04,716865.4421 ,0.2037 
2742,204,2.00E-04,2807201.2647 ,0.1734 
291,203,1.99E-04,2323460.2740 ,0.1760 
1657,203,3.34E-04,7402867.8056 ,0.0997 
2696,203,1.62E-04,724384.0351 ,0.1479 
3251,203,3.93E-04,8103368.5270 ,0.1621 
49,202,2.13E-04,1804765.2348 ,0.1851 
112,202,1.60E-04,856201.1549 ,0.1726 
668,202,2.01E-04,2462325.1225 ,0.1437 
2081,202,3.23E-04,7243890.7803 ,0.1169 
3325,202,2.45E-04,6348118.9723 ,0.1265 
295,201,2.15E-04,2979028.4317 ,0.1508 
2158,201,3.97E-04,8126609.8376 ,0.1938 
3196,201,2.52E-04,5510280.0338 ,0.1140 
211,200,1.81E-04,2072581.6537 ,0.1668 
3594,200,2.05E-04,1900246.8813 ,0.1800 
387,199,1.78E-04,1549598.8660 ,0.1894 
1758,199,1.80E-04,1749908.5486 ,0.1467 
106,198,2.19E-04,3550816.8296 ,0.1807 
511,198,2.40E-04,3178789.7962 ,0.1722 
2675,198,1.77E-04,2087009.8072 ,0.1464 
2,197,1.58E-04,855546.4059 ,0.1801 
134,197,3.45E-04,7971831.1115 ,0.1406 
567,197,3.01E-04,5044654.7679 ,0.1053 
678,197,1.78E-04,1209270.5830 ,0.1880 
1143,197,2.80E-04,2905491.1580 ,0.1836 
1470,197,1.85E-04,1845513.6797 ,0.1495 
3506,197,2.17E-04,4047023.0388 ,0.0835 
227,196,1.69E-04,1584369.4381 ,0.1690 
325,196,2.01E-04,2262415.6236 ,0.1976 
337,196,2.07E-04,2096077.1658 ,0.1389 
1048,196,2.05E-04,2844771.4474 ,0.1523 
1128,196,1.90E-04,2306007.1821 ,0.1850 
683,195,2.10E-04,2099235.9071 ,0.1994 
1420,195,1.72E-04,1405708.0955 ,0.1490 
1901,195,3.06E-04,6370369.7039 ,0.1360 
2649,195,2.81E-04,5268698.2625 ,0.1555 
3001,195,1.91E-04,1690345.1655 ,0.1383 
4117,194,2.37E-04,3760331.9989 ,0.0914 
353,193,1.54E-04,567889.5828 ,0.1272 
509,193,2.28E-04,2652764.7980 ,0.1257 
628,193,1.59E-04,1134310.1720 ,0.1533 
1018,193,1.83E-04,1554256.5238 ,0.1394 
4341,193,1.66E-04,1464587.3971 ,0.1364 
311,192,1.51E-04,685437.7916 ,0.1640 
370,192,1.56E-04,950387.6489 ,0.1574 
491,191,2.71E-04,4565029.4903 ,0.1653 
690,191,2.41E-04,3305137.3737 ,0.1474 
788,191,1.92E-04,2042674.3896 ,0.1546 
1132,191,2.28E-04,3371256.3417 ,0.1935 
1838,191,2.43E-04,5205327.0075 ,0.1180 
2027,191,3.16E-04,6294410.2902 ,0.0653 
2787,191,1.86E-04,1956858.4208 ,0.1632 
3917,191,1.83E-04,3390003.8114 ,0.1425 
148,190,2.47E-04,3137898.1882 ,0.1386 
488,190,2.12E-04,2079412.4055 ,0.1599 
1015,190,1.43E-04,719240.4471 ,0.1439 
1077,190,2.85E-04,6338773.0968 ,0.1549 
1948,190,2.58E-04,5403865.2810 ,0.1437 
3007,190,1.69E-04,1223304.5147 ,0.1085 
4435,190,2.54E-04,4769338.2407 ,0.0716 
659,189,1.76E-04,973064.9930 ,0.1241 
94,188,1.59E-04,1423125.5845 ,0.1265 
352,188,1.64E-04,956405.2671 ,0.1538 
389,188,1.61E-04,1029266.5135 ,0.1349 
1365,188,3.37E-04,7258768.3752 ,0.1556 
1954,188,1.96E-04,3568190.5902 ,0.1416 
2122,188,4.61E-04,13752519.2483 ,0.1422 
147,187,1.37E-04,410232.1922 ,0.1971 
3104,187,4.38E-04,15524243.1574 ,0.1681 
3669,187,1.78E-04,1691658.1926 ,0.1612 
243,186,1.63E-04,935480.0241 ,0.1176 
693,186,1.89E-04,1628343.5434 ,0.1479 
799,186,2.12E-04,2886614.4451 ,0.1635 
1060,186,2.03E-04,3899408.5286 ,0.1399 
2146,186,1.76E-04,2314902.2789 ,0.1546 
2518,186,2.53E-04,4426128.0549 ,0.1470 
4230,186,1.73E-04,3070905.4655 ,0.1245 
9409,186,1.82E-04,2300919.1615 ,0.1331 
561,185,2.74E-04,4938002.1125 ,0.1842 
616,185,2.17E-04,3509273.2337 ,0.1746 
7023,185,2.40E-04,5476500.6957 ,0.1221 
177,184,1.49E-04,462361.8235 ,0.1362 
1116,184,4.50E-04,11042520.9725 ,0.1404 
1154,184,2.56E-04,5088053.9698 ,0.1652 
1167,184,2.35E-04,3983960.1794 ,0.1313 
1176,184,1.80E-04,1625543.5948 ,0.1657 
118,183,1.60E-04,1136198.9932 ,0.1641 
306,183,2.08E-04,2346016.4210 ,0.1473 
1463,183,2.63E-04,4788653.0060 ,0.1811 
2511,183,1.65E-04,1360898.6443 ,0.1504 
2866,183,2.73E-04,7141035.3224 ,0.1143 
3779,183,1.69E-04,2565898.9186 ,0.1328 
93,182,1.59E-04,1159827.3258 ,0.1649 
272,182,1.52E-04,936593.2000 ,0.1494 
392,182,1.65E-04,1633760.5882 ,0.1611 
467,182,1.96E-04,3079532.9537 ,0.1637 
638,181,1.55E-04,1017925.0741 ,0.1745 
773,181,1.30E-04,368735.4553 ,0.1412 
1179,181,1.79E-04,1775875.9227 ,0.1748 
480,180,2.47E-04,3759601.4897 ,0.1990 
1942,180,3.12E-04,6993909.8242 ,0.1743 
4615,180,2.02E-04,3815591.1636 ,0.0963 
1168,179,2.01E-04,1845271.7201 ,0.1749 
2672,179,1.56E-04,1157385.5415 ,0.1554 
9680,179,2.76E-04,5297106.5738 ,0.0796 
162,178,2.50E-04,3484627.7589 ,0.1365 
1019,178,1.52E-04,1005364.1840 ,0.1389 
1941,178,1.93E-04,2368232.9397 ,0.1355 
84,177,1.60E-04,1423744.2434 ,0.1545 
466,177,1.45E-04,882430.0311 ,0.1166 
506,177,2.42E-04,3161135.0578 ,0.1759 
671,177,1.53E-04,1041960.3392 ,0.1479 
271,176,1.80E-04,2040117.5676 ,0.1535 
1105,176,1.71E-04,1411346.9044 ,0.1237 
1110,176,2.02E-04,2636331.1437 ,0.1496 
1516,176,2.85E-04,5465104.1035 ,0.0883 
252,175,1.77E-04,1315244.7879 ,0.1180 
1971,175,2.71E-04,5946480.7364 ,0.1462 
2125,175,3.14E-04,5761057.0992 ,0.1829 
2870,175,2.64E-04,4052709.2060 ,0.1483 
69,174,1.51E-04,948423.6689 ,0.1504 
1999,174,2.65E-04,4476585.3609 ,0.0971 
3177,174,1.90E-04,2882893.0872 ,0.1570 
4668,174,3.27E-04,5629181.6155 ,0.0386 
249,173,1.72E-04,1892468.8455 ,0.1149 
358,173,1.73E-04,1446333.6401 ,0.1517 
663,173,1.73E-04,1744057.6315 ,0.1381 
725,173,1.87E-04,1503808.7806 ,0.1197 
1112,173,2.01E-04,2522502.6585 ,0.1601 
2416,173,1.63E-04,2516106.9027 ,0.1440 
2667,173,1.62E-04,1528483.0282 ,0.1454 
3249,173,1.87E-04,2534635.2349 ,0.1221 
232,172,1.46E-04,754684.5926 ,0.1378 
739,172,1.92E-04,2540465.5198 ,0.1437 
751,172,2.55E-04,3688064.4344 ,0.1360 
1073,172,2.06E-04,2872104.6549 ,0.1568 
1169,172,1.55E-04,2181626.6829 ,0.1794 
1379,172,1.72E-04,1883942.1177 ,0.1282 
3515,172,1.86E-04,1706258.3325 ,0.1114 
11824,172,2.15E-04,3500111.9939 ,0.1029 
691,171,1.39E-04,650640.7190 ,0.1683 
661,170,1.49E-04,861312.7740 ,0.1219 
722,170,1.81E-04,1569844.6904 ,0.1084 
1424,170,1.48E-04,1281807.0683 ,0.1408 
1478,170,2.16E-04,2425219.4281 ,0.1661 
2078,170,2.67E-04,5641266.7325 ,0.1602 
2668,170,2.15E-04,3900637.4333 ,0.1433 
16,169,1.92E-04,2026875.8349 ,0.1543 
401,169,2.01E-04,2655771.1561 ,0.1307 
632,169,1.78E-04,1805778.4572 ,0.1458 
1759,169,1.34E-04,842017.5080 ,0.1451 
1985,169,1.79E-04,2274738.4871 ,0.1495 
360,168,1.50E-04,1366817.2529 ,0.1477 
1172,168,2.15E-04,3010038.3622 ,0.1503 
3065,168,1.55E-04,2226528.5725 ,0.1250 
3826,168,1.75E-04,2430145.0479 ,0.1666 
4136,168,2.44E-04,3126777.6058 ,0.1145 
7523,168,1.63E-04,1615337.7827 ,0.1405 
107,167,1.44E-04,1003721.3334 ,0.1435 
768,167,1.27E-04,590593.9101 ,0.1328 
2517,167,2.15E-04,3326132.8880 ,0.1378 
4554,167,1.37E-04,1341114.6198 ,0.1191 
