Id,¶È,Eigenvector Centrality,PageRank,Betweenness Centrality
2352,168,0.60073 ,3.12E-04,33.52 
2374,168,0.60946 ,3.12E-04,26.30 
2655,168,0.60774 ,3.12E-04,30.74 
925,167,0.24245 ,4.94E-04,6165.26 
2363,167,0.60498 ,3.11E-04,34.53 
946,166,0.24969 ,4.90E-04,693.75 
1367,166,0.25085 ,4.83E-04,397.75 
2328,166,0.19539 ,5.12E-04,2804.10 
2638,166,0.60132 ,3.08E-04,25.76 
1059,165,0.25377 ,4.79E-04,258.35 
1839,165,0.25182 ,4.77E-04,250.71 
2423,165,0.59160 ,3.09E-04,34.68 
2520,165,0.59004 ,3.10E-04,55.27 
2559,165,0.59799 ,3.08E-04,27.97 
2598,164,0.19681 ,4.93E-04,1761.46 
2108,164,0.60012 ,3.05E-04,21.97 
2578,164,0.59836 ,3.06E-04,26.38 
2619,164,0.58551 ,3.08E-04,35.62 
2054,163,0.19022 ,4.95E-04,2953.78 
2074,162,0.58826 ,3.02E-04,23.68 
2550,162,0.57867 ,3.17E-04,131.20 
2283,161,0.19021 ,5.19E-04,4407.66 
1918,161,0.57606 ,3.02E-04,38.56 
2446,161,0.57815 ,3.02E-04,30.17 
2549,161,0.58668 ,3.00E-04,22.70 
1554,160,0.24590 ,4.68E-04,263.15 
2289,160,0.17042 ,5.66E-04,8842.79 
2333,160,0.18916 ,4.89E-04,2533.45 
2112,160,0.57045 ,3.03E-04,42.72 
2154,160,0.57406 ,3.02E-04,59.77 
2482,160,0.57840 ,3.03E-04,43.34 
414,159,0.03852 ,0.001785424,388245.48 
1516,159,0.26078 ,4.49E-04,135.85 
2133,159,0.16422 ,5.77E-04,8256.97 
1184,158,0.24426 ,4.55E-04,217.03 
2020,158,0.57628 ,2.97E-04,22.93 
2121,158,0.57509 ,2.98E-04,50.04 
2370,158,0.57697 ,2.96E-04,23.43 
2551,158,0.55788 ,2.99E-04,82.43 
2253,157,0.56449 ,2.96E-04,32.99 
1185,156,0.24847 ,4.45E-04,153.09 
1522,156,0.24155 ,4.55E-04,5139.98 
1736,156,0.24493 ,4.47E-04,209.40 
1813,156,0.22080 ,4.88E-04,823.60 
2087,156,0.19141 ,4.78E-04,1307.39 
2308,156,0.56910 ,2.93E-04,22.35 
1718,155,0.18227 ,5.27E-04,304370.65 
2005,155,0.56039 ,2.92E-04,26.43 
2257,155,0.54942 ,2.94E-04,36.15 
2299,155,0.55985 ,2.91E-04,31.36 
2561,155,0.55473 ,2.96E-04,56.35 
993,154,0.23818 ,4.50E-04,347.58 
2282,154,0.18059 ,4.76E-04,1680.01 
2095,154,0.55406 ,2.92E-04,83.56 
2276,154,0.55364 ,2.91E-04,30.93 
1986,153,0.53434 ,2.93E-04,53.16 
2408,153,0.56067 ,2.88E-04,20.97 
1238,152,0.21441 ,4.58E-04,674.11 
1799,152,0.23855 ,4.38E-04,179.37 
2040,152,0.52938 ,2.96E-04,135.08 
2573,152,0.55743 ,2.88E-04,37.68 
1557,151,0.22504 ,4.44E-04,302.67 
1929,151,0.55267 ,2.84E-04,21.48 
2348,151,0.55128 ,2.87E-04,60.34 
2504,151,0.54338 ,2.85E-04,31.60 
2654,151,0.55402 ,2.83E-04,17.73 
1879,150,0.24249 ,4.27E-04,139.31 
2336,150,0.19092 ,4.54E-04,2013.04 
1017,149,0.23045 ,4.38E-04,257.13 
1420,148,0.22379 ,4.48E-04,49365.38 
1604,148,0.21092 ,4.54E-04,786.61 
2187,148,0.18414 ,4.45E-04,937.02 
916,147,0.22342 ,4.30E-04,5839.44 
1146,147,0.22489 ,4.39E-04,481.39 
2032,147,0.18037 ,4.49E-04,1764.35 
2083,147,0.53181 ,2.80E-04,28.37 
2359,147,0.54067 ,2.76E-04,15.61 
2433,147,0.53798 ,2.83E-04,67.07 
1331,146,0.22345 ,4.28E-04,213.47 
1662,146,0.23299 ,4.20E-04,158.90 
1945,146,0.18069 ,4.43E-04,1427.57 
2122,146,0.53097 ,2.76E-04,18.89 
2430,146,0.52863 ,2.80E-04,39.25 
1603,145,0.23782 ,4.17E-04,121.13 
1793,145,0.22980 ,4.17E-04,148.09 
2495,145,0.51715 ,2.75E-04,24.87 
2546,144,0.51615 ,2.75E-04,34.35 
1006,142,0.21568 ,4.21E-04,217.40 
1076,142,0.22648 ,4.10E-04,178.07 
1132,142,0.22298 ,4.09E-04,142.87 
1222,142,0.20763 ,4.39E-04,368.30 
1447,142,0.20683 ,4.34E-04,304.86 
2117,142,0.15541 ,4.86E-04,6515.67 
2292,142,0.18600 ,4.34E-04,2405.80 
1107,141,0.21992 ,4.08E-04,163.68 
2068,141,0.17214 ,4.34E-04,1721.32 
2063,141,0.50772 ,2.72E-04,58.18 
2084,141,0.47235 ,2.88E-04,181.42 
2307,141,0.51773 ,2.67E-04,16.35 
2521,141,0.51465 ,2.71E-04,40.73 
2575,141,0.49554 ,2.73E-04,79.03 
2511,140,0.17247 ,4.24E-04,1852.38 
2212,140,0.51605 ,2.66E-04,15.87 
2539,140,0.51243 ,2.67E-04,18.54 
1153,139,0.21393 ,4.02E-04,124.82 
1717,139,0.21667 ,4.09E-04,191.92 
2153,139,0.18290 ,4.16E-04,1053.47 
2334,139,0.48188 ,2.78E-04,119.20 
2386,139,0.51642 ,2.65E-04,24.85 
2138,138,0.17308 ,4.20E-04,1090.50 
2510,138,0.17502 ,4.24E-04,1989.71 
1250,137,0.21024 ,4.00E-04,231.29 
1361,137,0.20287 ,4.28E-04,16283.90 
1669,137,0.21584 ,4.00E-04,121.82 
2839,137,0.05833 ,6.22E-04,469.33 
2485,137,0.49974 ,2.63E-04,20.89 
1329,136,0.19961 ,4.12E-04,514.68 
1598,136,0.20491 ,4.11E-04,584.71 
2086,136,0.50152 ,2.61E-04,19.44 
2115,136,0.49887 ,2.61E-04,20.99 
1256,135,0.19961 ,4.01E-04,180.71 
1488,135,0.20358 ,3.99E-04,184.27 
2555,135,0.17317 ,4.10E-04,492.34 
1997,135,0.49777 ,2.58E-04,15.93 
2109,135,0.49594 ,2.58E-04,13.68 
2469,135,0.50609 ,2.58E-04,12.32 
2646,135,0.47839 ,2.65E-04,62.66 
1926,134,0.15233 ,4.62E-04,4097.45 
2183,134,0.17151 ,4.02E-04,857.85 
2509,134,0.15380 ,4.18E-04,1637.49 
136,133,0.12060 ,6.34E-04,219012.32 
376,133,0.04490 ,8.98E-04,50498.87 
2216,133,0.48814 ,2.57E-04,22.81 
1175,132,0.19149 ,4.02E-04,433.86 
1456,132,0.20152 ,3.87E-04,134.26 
2102,132,0.16271 ,4.14E-04,1790.80 
2471,132,0.16905 ,3.98E-04,1055.59 
1509,131,0.20397 ,3.99E-04,4140.11 
1757,131,0.21041 ,3.82E-04,130.35 
1791,131,0.20369 ,4.03E-04,282.67 
1816,131,0.21104 ,3.76E-04,103.21 
3363,131,0.05668 ,5.98E-04,434.58 
2556,131,0.47352 ,2.54E-04,22.55 
917,130,0.04923 ,7.29E-04,2496.83 
1124,130,0.18125 ,4.11E-04,339.01 
1902,130,0.20482 ,3.85E-04,159.39 
2268,130,0.13606 ,4.45E-04,7604.01 
2467,130,0.47722 ,2.50E-04,14.71 
2623,130,0.47326 ,2.54E-04,47.54 
2072,129,0.15547 ,3.99E-04,2086.05 
2224,129,0.16492 ,3.93E-04,807.71 
2279,129,0.17053 ,3.90E-04,852.94 
2261,129,0.47601 ,2.49E-04,13.65 
980,128,0.19420 ,3.98E-04,247.74 
1335,128,0.21399 ,3.72E-04,108.90 
1620,128,0.16891 ,4.32E-04,956.77 
2149,128,0.15854 ,3.97E-04,523.56 
2165,128,0.46726 ,2.51E-04,29.99 
1665,127,0.19706 ,3.71E-04,109.61 
1823,127,0.21133 ,3.74E-04,136.54 
2629,127,0.16515 ,3.88E-04,1306.43 
2642,127,0.13885 ,4.51E-04,4464.30 
896,126,0.05455 ,5.85E-04,724.89 
1269,126,0.20008 ,3.73E-04,121.59 
1750,126,0.20253 ,3.73E-04,147.71 
2463,126,0.16104 ,3.82E-04,576.04 
2077,126,0.46874 ,2.43E-04,11.37 
2484,126,0.46014 ,2.45E-04,19.07 
1230,125,0.19969 ,3.69E-04,117.81 
1491,125,0.20664 ,3.63E-04,100.39 
2327,125,0.14677 ,3.93E-04,1886.62 
2592,125,0.16072 ,3.79E-04,585.00 
1925,125,0.45587 ,2.45E-04,45.15 
1255,124,0.19549 ,3.77E-04,324.37 
1277,124,0.05430 ,5.76E-04,721.73 
1467,124,0.19049 ,3.85E-04,421.10 
1570,124,0.18052 ,3.79E-04,166.43 
1689,124,0.19567 ,3.64E-04,98.01 
2461,124,0.15552 ,3.84E-04,1143.14 
2237,124,0.45596 ,2.42E-04,19.05 
2329,124,0.45553 ,2.42E-04,45.08 
2506,124,0.44487 ,2.48E-04,63.50 
1079,123,0.20210 ,3.58E-04,78.39 
1101,123,0.19521 ,3.65E-04,139.50 
1341,123,0.20044 ,3.61E-04,106.36 
1683,123,0.18939 ,3.86E-04,289.50 
1867,123,0.18704 ,3.75E-04,184.30 
2038,123,0.13072 ,4.30E-04,4305.28 
2071,123,0.16372 ,3.70E-04,1224.79 
2302,123,0.16247 ,3.87E-04,2171.94 
1920,123,0.16108 ,3.69E-04,329.55 
1953,123,0.45651 ,2.38E-04,10.71 
2046,123,0.46434 ,2.39E-04,8.68 
475,122,0.04371 ,7.82E-04,40741.25 
1117,122,0.19463 ,3.64E-04,148.31 
1330,122,0.19110 ,3.71E-04,187.14 
1547,122,0.20030 ,3.52E-04,72.37 
1668,122,0.19756 ,3.57E-04,81.20 
2247,122,0.14963 ,3.91E-04,2106.24 
2319,122,0.16000 ,3.76E-04,1096.50 
2649,122,0.15281 ,3.76E-04,756.45 
3101,122,0.04935 ,6.70E-04,2912.72 
2294,122,0.13963 ,3.83E-04,857.30 
2754,122,0.05324 ,5.70E-04,468.81 
2300,122,0.39701 ,2.64E-04,145.07 
1761,121,0.18407 ,4.18E-04,641.71 
1783,121,0.04662 ,6.54E-04,1540.49 
1868,121,0.18282 ,3.61E-04,117.51 
2491,121,0.15507 ,3.75E-04,1561.00 
2125,121,0.15508 ,3.72E-04,401.18 
2344,121,0.13840 ,3.82E-04,1114.40 
1004,120,0.19245 ,3.52E-04,88.26 
1267,120,0.20224 ,3.46E-04,64.00 
2174,120,0.13918 ,3.87E-04,1630.26 
1959,120,0.15093 ,3.71E-04,866.52 
1947,120,0.13983 ,3.74E-04,993.67 
1842,119,0.18613 ,3.54E-04,102.93 
1849,119,0.20053 ,3.45E-04,65.75 
2241,119,0.15330 ,3.63E-04,270.70 
3291,119,0.04659 ,6.66E-04,632.11 
1125,117,0.18833 ,3.44E-04,84.59 
1520,117,0.18259 ,3.62E-04,158.66 
1600,117,0.17751 ,3.54E-04,184.52 
1608,117,0.18841 ,3.50E-04,114.26 
1617,117,0.18712 ,3.48E-04,3652.49 
1675,117,0.17408 ,3.74E-04,228.30 
2176,117,0.12522 ,4.22E-04,2918.03 
2098,117,0.43112 ,2.30E-04,11.05 
2418,117,0.43383 ,2.28E-04,9.05 
2223,116,0.15004 ,3.62E-04,1196.02 
2567,116,0.16179 ,3.49E-04,466.90 
2742,116,0.04695 ,6.25E-04,381.90 
3082,116,0.04815 ,6.25E-04,386.32 
2579,116,0.43618 ,2.27E-04,7.55 
2631,116,0.42100 ,2.34E-04,35.64 
428,115,0.04798 ,7.76E-04,524164.07 
637,115,0.05051 ,6.66E-04,12373.14 
947,115,0.19009 ,3.53E-04,154.58 
966,115,0.18671 ,3.36E-04,69.73 
1173,115,0.15395 ,3.97E-04,7681.87 
1721,115,0.19046 ,3.39E-04,81.83 
1752,115,0.18399 ,3.39E-04,81.11 
2053,115,0.14780 ,3.52E-04,435.56 
3397,115,0.04588 ,6.47E-04,644.49 
2056,115,0.36839 ,2.53E-04,160.97 
1214,114,0.16389 ,3.70E-04,245.84 
1619,114,0.17417 ,3.39E-04,86.37 
2180,114,0.14981 ,3.48E-04,509.78 
2617,114,0.13565 ,3.55E-04,1398.45 
1172,113,0.18588 ,3.36E-04,106.60 
1291,113,0.19073 ,3.33E-04,70.35 
1809,113,0.17114 ,3.39E-04,94.99 
2189,113,0.18148 ,3.35E-04,8173.64 
3320,113,0.04326 ,6.29E-04,501.83 
3426,113,0.04945 ,5.38E-04,428.30 
2306,113,0.42385 ,2.22E-04,7.21 
2477,113,0.41489 ,2.22E-04,10.34 
1243,112,0.17482 ,3.43E-04,138.38 
1370,112,0.17574 ,3.32E-04,74.67 
1563,112,0.17719 ,3.43E-04,125.94 
1597,112,0.18171 ,3.35E-04,110.38 
2039,112,0.14834 ,3.41E-04,484.71 
2127,112,0.14100 ,3.57E-04,1018.63 
2552,112,0.41524 ,2.22E-04,12.79 
1416,111,0.17740 ,3.31E-04,134.19 
1191,110,0.17167 ,3.34E-04,167.44 
2196,110,0.14863 ,3.34E-04,95.33 
2351,110,0.14968 ,3.34E-04,204.14 
2563,110,0.40602 ,2.19E-04,12.20 
953,109,0.16242 ,3.41E-04,346.15 
1104,109,0.04848 ,5.06E-04,579.53 
1735,109,0.17863 ,3.27E-04,76.51 
2250,109,0.13529 ,3.51E-04,1163.65 
2451,109,0.14257 ,3.39E-04,1422.77 
2169,109,0.13955 ,3.38E-04,247.31 
2194,109,0.14402 ,3.35E-04,350.56 
2338,109,0.14726 ,3.29E-04,69.40 
2419,109,0.12217 ,3.75E-04,1810.81 
1465,108,0.14949 ,3.58E-04,200277.76 
2398,108,0.14959 ,3.45E-04,1753.90 
3830,108,0.02013 ,0.001186471,52465.60 
1948,108,0.14617 ,3.28E-04,493.27 
3090,108,0.04375 ,5.41E-04,518.19 
2489,108,0.39870 ,2.17E-04,19.02 
484,107,0.05126 ,6.17E-04,23624.69 
967,107,0.15290 ,3.42E-04,321.89 
1204,107,0.04944 ,4.97E-04,505.42 
1235,107,0.04950 ,4.99E-04,427.48 
1302,107,0.18598 ,3.15E-04,59.44 
1864,107,0.15902 ,3.29E-04,186.73 
2966,107,0.04898 ,4.84E-04,218.74 
3280,107,0.04224 ,6.07E-04,513.77 
3434,107,0.04435 ,5.71E-04,274.61 
921,106,0.16605 ,3.29E-04,3112.29 
1048,106,0.15475 ,3.36E-04,293.06 
1083,106,0.16213 ,3.22E-04,100.35 
1409,106,0.14960 ,3.42E-04,233.03 
2028,106,0.14060 ,3.28E-04,109.13 
2052,106,0.14451 ,3.26E-04,216.67 
2944,106,0.04702 ,4.93E-04,278.40 
2060,106,0.37068 ,2.25E-04,199.51 
2532,106,0.40007 ,2.11E-04,8.68 
1530,105,0.18280 ,3.06E-04,41.70 
1712,105,0.16694 ,3.13E-04,70.45 
1886,105,0.16909 ,3.24E-04,142.03 
2372,105,0.13611 ,3.27E-04,276.12 
2512,105,0.15739 ,3.20E-04,3591.44 
2597,105,0.14621 ,3.27E-04,545.81 
3232,105,0.04876 ,4.76E-04,185.75 
517,104,0.04096 ,6.34E-04,13638.48 
978,104,0.17008 ,3.30E-04,185.34 
1305,104,0.15446 ,3.40E-04,363.15 
1741,104,0.16438 ,3.19E-04,109.27 
2863,104,0.04075 ,6.36E-04,765.61 
2877,104,0.04753 ,4.75E-04,201.56 
960,103,0.15549 ,3.26E-04,161.74 
1789,103,0.16457 ,3.09E-04,78.13 
2332,103,0.13546 ,3.19E-04,267.79 
3116,103,0.04296 ,5.64E-04,310.69 
2213,103,0.37807 ,2.06E-04,9.22 
2574,103,0.37133 ,2.08E-04,12.73 
353,102,0.04169 ,6.12E-04,17447.35 
1149,102,0.16723 ,3.12E-04,85.62 
1205,102,0.14935 ,3.12E-04,71.70 
1459,102,0.04560 ,4.73E-04,244.79 
1810,102,0.16478 ,3.04E-04,79.89 
1826,102,0.16583 ,3.02E-04,58.11 
2143,102,0.11968 ,3.43E-04,4616.34 
2786,102,0.04555 ,4.71E-04,190.25 
2951,102,0.03079 ,6.69E-04,930.42 
1845,101,0.13882 ,3.34E-04,241.37 
1898,101,0.15137 ,3.06E-04,64.32 
2582,101,0.13386 ,3.17E-04,112.79 
3051,101,0.04088 ,5.68E-04,443.63 
1163,100,0.16205 ,2.99E-04,48.36 
1334,100,0.13704 ,3.62E-04,4359.92 
1339,100,0.16177 ,3.05E-04,101.93 
1623,100,0.16492 ,2.99E-04,54.15 
1643,100,0.16869 ,2.98E-04,45.12 
2203,100,0.11807 ,3.27E-04,1027.23 
2643,100,0.13694 ,3.10E-04,558.37 
2616,100,0.12352 ,3.26E-04,788.89 
2719,100,0.04077 ,5.46E-04,264.79 
2986,100,0.04660 ,4.46E-04,125.21 
1014,99,0.04421 ,4.77E-04,420.34 
1156,99,0.15590 ,3.01E-04,85.09 
1637,99,0.14175 ,3.21E-04,319.31 
1861,99,0.13701 ,3.36E-04,297.69 
2458,99,0.12514 ,3.10E-04,847.39 
2533,99,0.14011 ,3.06E-04,699.88 
412,99,0.03048 ,6.67E-04,7069.39 
2608,99,0.12022 ,3.23E-04,623.30 
2661,99,0.04242 ,5.34E-04,229.42 
2793,99,0.04192 ,5.38E-04,255.11 
3078,99,0.04813 ,4.37E-04,129.82 
526,98,0.07890 ,4.65E-04,14632.10 
1128,98,0.15524 ,3.25E-04,819.36 
2508,98,0.13368 ,3.06E-04,646.57 
2782,98,0.04541 ,4.44E-04,149.60 
2210,98,0.35771 ,2.05E-04,123.87 
366,97,0.03932 ,5.85E-04,9585.08 
1192,97,0.04670 ,4.48E-04,397.19 
1345,97,0.04373 ,4.49E-04,227.76 
1583,97,0.04333 ,4.49E-04,185.44 
1786,97,0.04352 ,4.64E-04,331.56 
2475,97,0.12619 ,3.06E-04,671.34 
2669,97,0.04621 ,4.35E-04,142.69 
3387,97,0.04468 ,4.39E-04,144.75 
363,96,0.03883 ,5.98E-04,11839.97 
997,96,0.13907 ,2.97E-04,61.65 
1271,96,0.15089 ,2.93E-04,47.98 
1483,96,0.13963 ,3.07E-04,5137.39 
2042,96,0.12894 ,3.02E-04,745.46 
2026,96,0.16120 ,2.84E-04,1225.50 
2956,96,0.04402 ,4.37E-04,133.81 
3026,96,0.04239 ,4.54E-04,209.94 
1964,96,0.06411 ,5.33E-04,881.66 
2462,96,0.33874 ,2.07E-04,102.89 
2591,96,0.35756 ,1.95E-04,6.25 
1003,95,0.14046 ,3.06E-04,152.44 
1591,95,0.04184 ,4.81E-04,482.62 
1688,95,0.11967 ,3.39E-04,4484.19 
1932,95,0.13291 ,2.91E-04,331.60 
2246,95,0.12640 ,3.03E-04,335.46 
2394,95,0.11122 ,3.06E-04,872.52 
2716,95,0.03506 ,5.63E-04,510.48 
2778,95,0.03881 ,5.23E-04,299.69 
2537,95,0.10823 ,3.07E-04,73.57 
2436,94,0.12799 ,2.94E-04,339.00 
2498,94,0.11142 ,3.17E-04,1933.93 
373,94,0.03039 ,6.39E-04,6993.27 
2132,94,0.10607 ,3.06E-04,1748.37 
2377,94,0.11357 ,2.98E-04,262.01 
2594,94,0.11571 ,3.15E-04,779.72 
2179,94,0.34874 ,1.93E-04,11.39 
1242,93,0.14667 ,2.85E-04,93.79 
1480,93,0.12650 ,3.17E-04,596.91 
1685,93,0.14794 ,2.93E-04,98.38 
1940,93,0.12375 ,2.89E-04,125.67 
1954,93,0.10263 ,3.30E-04,5551.68 
2679,93,0.04215 ,4.25E-04,158.14 
2694,93,0.04406 ,4.26E-04,199.30 
3330,93,0.03867 ,5.20E-04,406.37 
2478,93,0.27412 ,2.32E-04,154.80 
2499,93,0.30812 ,2.16E-04,93.62 
2554,93,0.35244 ,1.90E-04,8.70 
1288,92,0.14401 ,2.81E-04,48.02 
1609,92,0.13486 ,2.89E-04,118.65 
1955,92,0.12084 ,2.90E-04,505.23 
2128,92,0.12193 ,3.10E-04,2387.49 
3201,92,0.04041 ,4.96E-04,416.11 
2906,92,0.04452 ,4.12E-04,90.71 
2927,92,0.04324 ,4.24E-04,135.60 
2960,92,0.04360 ,4.18E-04,121.09 
2164,92,0.33062 ,1.91E-04,14.54 
2392,92,0.34130 ,1.92E-04,53.92 
563,91,0.03589 ,7.34E-04,511703.00 
606,91,0.04098 ,5.39E-04,8127.72 
1344,91,0.13909 ,2.84E-04,105.47 
2273,91,0.11697 ,2.88E-04,81.46 
2588,91,0.11765 ,2.93E-04,493.01 
2915,91,0.03946 ,4.31E-04,191.09 
3000,91,0.04129 ,4.20E-04,127.22 
3154,91,0.03033 ,5.80E-04,694.56 
2434,91,0.09713 ,3.02E-04,104.44 
1322,90,0.04058 ,4.23E-04,236.27 
1449,90,0.13719 ,2.93E-04,130.70 
1472,90,0.02867 ,5.87E-04,640.08 
1605,90,0.14090 ,2.78E-04,65.48 
2254,90,0.10935 ,2.91E-04,525.44 
