Id,degree,Betweenness Centrality,Eigenvector Centrality,PageRank
1081,253,904541.51 ,0.38 ,4.31E-04
1281,253,1097971.37 ,0.37 ,4.38E-04
897,249,1172813.24 ,0.36 ,4.74E-04
241,247,3148803.95 ,0.25 ,5.71E-04
501,246,2280200.51 ,0.17 ,5.56E-04
88,244,3550138.95 ,0.16 ,6.86E-04
247,244,3021772.62 ,0.27 ,5.23E-04
99,243,6013339.91 ,0.17 ,7.54E-04
198,243,2599609.44 ,0.13 ,6.24E-04
498,243,1150882.72 ,0.33 ,4.15E-04
863,243,1380244.66 ,0.34 ,4.27E-04
1523,240,812359.50 ,0.31 ,4.36E-04
411,239,1304032.83 ,0.35 ,4.12E-04
125,235,1683749.66 ,0.09 ,4.98E-04
185,234,2701962.66 ,0.23 ,5.76E-04
3756,234,565267.72 ,0.24 ,4.23E-04
1247,233,806104.95 ,0.31 ,4.39E-04
75,232,1285421.21 ,0.29 ,4.57E-04
892,232,723403.44 ,0.35 ,4.01E-04
1814,231,728914.11 ,0.31 ,3.97E-04
1516,230,1436983.45 ,0.34 ,4.26E-04
1856,230,535439.53 ,0.28 ,4.04E-04
312,229,867099.86 ,0.36 ,3.98E-04
319,229,2429077.68 ,0.31 ,4.25E-04
393,229,637454.96 ,0.29 ,3.76E-04
212,228,3243278.68 ,0.14 ,6.23E-04
1502,228,758626.61 ,0.32 ,3.87E-04
1919,228,859975.13 ,0.29 ,3.71E-04
451,227,945219.55 ,0.25 ,3.76E-04
1261,227,808138.65 ,0.31 ,3.86E-04
1738,227,984219.34 ,0.32 ,4.18E-04
1285,226,1187217.81 ,0.28 ,4.19E-04
1122,225,789288.05 ,0.15 ,3.84E-04
463,223,3540150.86 ,0.17 ,6.41E-04
1007,223,624696.89 ,0.28 ,3.64E-04
480,221,2877489.38 ,0.24 ,6.03E-04
1086,221,1220514.90 ,0.25 ,3.76E-04
651,220,908664.52 ,0.30 ,4.19E-04
1769,219,435231.42 ,0.27 ,3.87E-04
909,219,1064759.85 ,0.31 ,3.90E-04
3849,219,764757.56 ,0.18 ,3.74E-04
104,218,3777854.35 ,0.12 ,6.18E-04
7188,218,275582.21 ,0.25 ,3.86E-04
210,217,3435286.58 ,0.10 ,5.55E-04
226,217,4817068.38 ,0.16 ,7.86E-04
1777,217,599714.17 ,0.29 ,3.93E-04
1498,216,1264144.35 ,0.30 ,3.74E-04
1090,215,740889.19 ,0.29 ,3.67E-04
238,214,2852450.38 ,0.22 ,5.49E-04
1757,214,1377314.76 ,0.32 ,3.79E-04
3585,213,563256.31 ,0.08 ,6.27E-04
142,212,3161278.16 ,0.08 ,7.68E-04
412,212,4017921.67 ,0.13 ,7.03E-04
1515,212,568545.34 ,0.35 ,3.75E-04
903,211,1099066.63 ,0.33 ,3.75E-04
1507,210,910128.00 ,0.29 ,3.56E-04
147,209,4985792.74 ,0.12 ,7.16E-04
108,207,3802480.33 ,0.07 ,8.44E-04
1509,207,1211687.99 ,0.28 ,3.49E-04
1735,207,558316.24 ,0.31 ,3.53E-04
2637,207,2559622.88 ,0.11 ,4.99E-04
4525,206,1525298.06 ,0.12 ,4.35E-04
1731,205,947667.80 ,0.33 ,3.52E-04
1289,205,363642.36 ,0.29 ,3.42E-04
647,204,961237.57 ,0.22 ,3.57E-04
173,203,4482625.01 ,0.16 ,7.55E-04
637,203,836303.55 ,0.32 ,3.47E-04
183,201,1603566.62 ,0.27 ,3.92E-04
1229,200,363843.03 ,0.26 ,3.17E-04
3842,198,507127.06 ,0.27 ,3.33E-04
207,197,2073355.89 ,0.11 ,4.51E-04
459,192,1572559.17 ,0.27 ,3.56E-04
913,191,572503.01 ,0.31 ,3.35E-04
117,190,2604602.15 ,0.10 ,5.17E-04
145,190,1738463.23 ,0.27 ,4.62E-04
443,190,1391245.10 ,0.23 ,3.87E-04
3808,190,1256689.74 ,0.17 ,3.51E-04
430,187,867064.63 ,0.23 ,3.69E-04
153,186,5248530.27 ,0.02 ,0.001817936
2430,186,498679.26 ,0.18 ,3.53E-04
666,185,489658.81 ,0.29 ,3.37E-04
4526,184,592829.69 ,0.24 ,3.26E-04
3737,184,340164.91 ,0.23 ,2.94E-04
924,183,1130253.09 ,0.25 ,3.48E-04
444,181,394945.81 ,0.23 ,2.99E-04
445,181,4484490.67 ,0.10 ,7.27E-04
1244,181,966434.97 ,0.28 ,3.18E-04
1775,181,436899.51 ,0.28 ,3.11E-04
2774,181,3106886.64 ,0.11 ,3.68E-04
22573,181,5182193.49 ,0.02 ,0.001750776
474,180,577309.88 ,0.31 ,3.17E-04
504,180,1361495.55 ,0.24 ,3.23E-04
1806,180,674388.65 ,0.21 ,3.35E-04
466,178,2349615.49 ,0.19 ,4.43E-04
500,178,588226.82 ,0.19 ,2.97E-04
2416,178,1115030.53 ,0.16 ,3.48E-04
3465,178,1656394.73 ,0.14 ,4.18E-04
3848,178,415269.41 ,0.19 ,3.13E-04
1748,177,509147.36 ,0.27 ,3.13E-04
1250,176,530059.01 ,0.27 ,2.89E-04
392,175,806519.24 ,0.21 ,2.99E-04
4529,175,1173728.48 ,0.16 ,3.52E-04
209,174,1641033.88 ,0.11 ,4.39E-04
471,174,912911.10 ,0.21 ,3.54E-04
1867,174,657376.72 ,0.28 ,3.05E-04
3755,174,157250.88 ,0.17 ,2.69E-04
1805,173,362154.65 ,0.29 ,3.04E-04
938,173,448519.22 ,0.18 ,2.99E-04
189,172,1668716.53 ,0.19 ,4.20E-04
236,172,2593102.63 ,0.13 ,5.56E-04
469,172,544130.50 ,0.24 ,3.08E-04
634,172,993824.15 ,0.26 ,3.19E-04
1852,172,616558.06 ,0.30 ,3.07E-04
109,171,3208711.21 ,0.07 ,6.47E-04
893,171,376342.10 ,0.30 ,2.87E-04
83,170,6199829.94 ,0.15 ,5.66E-04
3459,170,385717.78 ,0.23 ,3.01E-04
265,169,4976990.22 ,0.08 ,5.07E-04
494,169,2730743.02 ,0.21 ,3.85E-04
111,168,1456873.56 ,0.09 ,4.40E-04
264,168,1838292.99 ,0.10 ,4.13E-04
2410,168,812336.80 ,0.21 ,2.95E-04
1236,168,328939.00 ,0.21 ,2.73E-04
1746,168,624354.95 ,0.21 ,2.98E-04
1755,167,962228.09 ,0.30 ,3.00E-04
934,167,6686239.77 ,0.26 ,3.51E-04
1773,167,592372.39 ,0.18 ,3.31E-04
2528,167,1196169.31 ,0.16 ,3.64E-04
310,166,1247946.19 ,0.21 ,3.33E-04
1089,166,485919.11 ,0.26 ,2.81E-04
1504,165,660368.72 ,0.22 ,3.00E-04
1849,165,1005647.54 ,0.23 ,3.32E-04
4527,165,333053.12 ,0.10 ,2.66E-04
515,164,492439.69 ,0.23 ,2.66E-04
1240,164,489620.70 ,0.14 ,3.27E-04
120,163,4210667.67 ,0.02 ,0.001169983
176,163,3481516.18 ,0.03 ,9.01E-04
467,163,536823.38 ,0.24 ,2.75E-04
1741,163,657448.04 ,0.27 ,2.88E-04
912,162,438671.78 ,0.19 ,3.02E-04
1500,162,907744.93 ,0.22 ,3.01E-04
1279,162,527716.77 ,0.17 ,2.86E-04
1262,162,305953.33 ,0.24 ,2.69E-04
3902,162,396325.32 ,0.22 ,2.85E-04
1776,161,327205.98 ,0.28 ,2.76E-04
116,160,2666853.61 ,0.05 ,5.73E-04
887,160,951105.04 ,0.24 ,2.88E-04
1742,160,511519.87 ,0.24 ,2.70E-04
101,159,2034213.47 ,0.11 ,4.87E-04
2026,159,1832325.63 ,0.20 ,2.88E-04
441,158,773543.78 ,0.23 ,2.80E-04
3896,158,369052.84 ,0.13 ,3.11E-04
1275,158,756522.25 ,0.22 ,2.79E-04
652,158,383902.46 ,0.21 ,2.81E-04
925,157,454898.14 ,0.28 ,2.75E-04
639,157,245895.76 ,0.19 ,2.45E-04
2412,157,805080.40 ,0.12 ,2.92E-04
1863,157,441734.36 ,0.19 ,2.95E-04
1492,156,536453.57 ,0.28 ,2.62E-04
1987,156,303373.76 ,0.13 ,2.48E-04
2447,155,411844.37 ,0.19 ,2.70E-04
1082,155,662489.19 ,0.26 ,2.70E-04
3877,155,390524.36 ,0.22 ,2.64E-04
175,151,1891454.04 ,0.11 ,4.52E-04
1737,151,448391.36 ,0.24 ,2.53E-04
5562,150,172796.52 ,0.25 ,2.55E-04
5281,150,492204.31 ,0.07 ,2.91E-04
2482,149,687459.93 ,0.18 ,2.90E-04
867,149,390661.52 ,0.17 ,2.59E-04
1723,149,354448.77 ,0.21 ,2.49E-04
4739,149,191573.59 ,0.08 ,2.41E-04
1811,148,300969.44 ,0.28 ,2.45E-04
106,147,2212079.64 ,0.07 ,4.45E-04
1772,147,429014.24 ,0.24 ,2.52E-04
1508,147,413243.56 ,0.25 ,2.59E-04
3712,147,420672.10 ,0.23 ,2.62E-04
1810,147,673171.07 ,0.26 ,2.52E-04
1288,147,374530.19 ,0.10 ,2.77E-04
1284,147,381390.81 ,0.14 ,2.87E-04
2489,147,435070.95 ,0.14 ,2.65E-04
81,146,974443.68 ,0.19 ,3.20E-04
323,146,452355.25 ,0.24 ,2.70E-04
505,146,312744.80 ,0.21 ,2.48E-04
3151,146,496266.65 ,0.10 ,2.75E-04
899,145,1268020.78 ,0.19 ,3.51E-04
949,145,1002625.68 ,0.18 ,3.19E-04
3711,145,499122.99 ,0.16 ,2.95E-04
2414,145,2974644.08 ,0.14 ,3.26E-04
330,144,205414.34 ,0.21 ,2.43E-04
517,144,1046156.23 ,0.15 ,2.87E-04
1906,144,539843.19 ,0.18 ,2.62E-04
2515,144,241519.94 ,0.15 ,2.45E-04
947,144,626964.28 ,0.14 ,2.59E-04
170,143,926935.17 ,0.08 ,3.37E-04
204,143,653694.69 ,0.20 ,2.93E-04
3687,143,662882.91 ,0.20 ,2.67E-04
1274,143,252753.36 ,0.20 ,2.59E-04
450,142,533103.65 ,0.27 ,2.45E-04
2496,142,4014958.58 ,0.06 ,8.45E-04
4049,142,407212.80 ,0.10 ,2.40E-04
121,141,3619622.64 ,0.03 ,5.92E-04
190,141,473304.20 ,0.11 ,2.74E-04
322,141,566718.37 ,0.27 ,2.54E-04
1801,141,404830.53 ,0.21 ,2.44E-04
860,140,431884.83 ,0.20 ,2.41E-04
1590,140,362472.93 ,0.20 ,2.42E-04
2567,140,2305948.30 ,0.06 ,6.03E-04
115,139,1829869.45 ,0.10 ,3.99E-04
939,139,413021.01 ,0.25 ,2.54E-04
1243,139,494373.84 ,0.18 ,2.47E-04
1366,139,715234.76 ,0.14 ,2.52E-04
306,138,889341.36 ,0.19 ,2.60E-04
315,138,1158546.94 ,0.19 ,2.53E-04
325,138,443866.65 ,0.19 ,2.60E-04
1752,138,330856.78 ,0.20 ,2.45E-04
879,138,315505.58 ,0.18 ,2.54E-04
4042,138,336650.51 ,0.11 ,2.25E-04
511,137,162700.19 ,0.15 ,2.18E-04
1501,137,1008287.12 ,0.23 ,2.42E-04
1750,137,387443.69 ,0.23 ,2.45E-04
1527,137,420692.02 ,0.16 ,2.25E-04
1809,137,576456.42 ,0.19 ,2.52E-04
638,137,409338.70 ,0.23 ,2.34E-04
1184,137,1338629.35 ,0.11 ,3.47E-04
2016,137,356049.70 ,0.14 ,2.31E-04
243,136,1334194.86 ,0.13 ,3.72E-04
252,136,828638.49 ,0.10 ,3.06E-04
456,136,679094.40 ,0.20 ,2.51E-04
1572,136,380106.71 ,0.20 ,2.27E-04
4762,136,135038.38 ,0.07 ,2.27E-04
250,135,1885527.43 ,0.09 ,4.04E-04
4496,135,868298.31 ,0.07 ,2.72E-04
4495,135,405759.06 ,0.20 ,2.45E-04
7173,135,250991.06 ,0.21 ,2.43E-04
1278,135,123071.82 ,0.22 ,2.30E-04
884,134,379527.13 ,0.20 ,2.27E-04
2426,134,227177.73 ,0.22 ,2.19E-04
2733,134,186380.00 ,0.10 ,2.20E-04
82,133,659803.57 ,0.16 ,2.77E-04
248,133,1273255.41 ,0.11 ,3.20E-04
462,133,358727.28 ,0.16 ,2.29E-04
479,133,681125.80 ,0.20 ,2.41E-04
4553,133,451980.71 ,0.10 ,2.33E-04
3152,133,334241.33 ,0.10 ,2.30E-04
1839,132,480247.18 ,0.18 ,2.29E-04
644,132,1042934.13 ,0.08 ,3.33E-04
3749,132,615544.35 ,0.10 ,2.54E-04
673,131,959707.23 ,0.19 ,2.60E-04
3834,131,2846922.94 ,0.14 ,3.22E-04
2023,130,392593.51 ,0.21 ,2.26E-04
1854,130,369619.35 ,0.21 ,2.16E-04
14526,130,1192594.31 ,0.06 ,3.43E-04
2459,130,1801098.71 ,0.05 ,2.65E-04
281,129,1758190.55 ,0.08 ,3.86E-04
1834,129,225571.85 ,0.21 ,2.14E-04
1808,128,434229.85 ,0.18 ,2.34E-04
378,127,1059446.82 ,0.15 ,2.47E-04
446,127,258386.24 ,0.21 ,2.27E-04
1126,127,232441.10 ,0.18 ,2.27E-04
2058,127,272909.35 ,0.23 ,2.19E-04
3090,127,158116.21 ,0.09 ,2.17E-04
166,126,273342.30 ,0.11 ,2.41E-04
2411,126,274671.77 ,0.20 ,2.23E-04
2476,126,182714.42 ,0.14 ,2.20E-04
1857,126,120158.85 ,0.17 ,2.25E-04
74,125,1756234.41 ,0.11 ,4.11E-04
76,125,885411.74 ,0.11 ,2.91E-04
22355,125,1844543.39 ,0.04 ,4.42E-04
12979,125,447082.44 ,0.08 ,2.80E-04
2500,124,316286.20 ,0.16 ,2.14E-04
929,124,1063560.53 ,0.15 ,2.34E-04
1098,124,276393.93 ,0.18 ,2.14E-04
10366,124,909850.85 ,0.07 ,3.05E-04
428,123,542173.79 ,0.18 ,2.11E-04
431,123,235964.72 ,0.11 ,2.17E-04
2542,123,459619.02 ,0.17 ,2.11E-04
1106,123,274592.57 ,0.16 ,2.39E-04
1781,123,222535.90 ,0.18 ,2.08E-04
1727,123,185139.80 ,0.19 ,2.12E-04
678,123,239498.53 ,0.16 ,2.12E-04
4045,123,99462.07 ,0.09 ,2.08E-04
6832,123,422695.63 ,0.05 ,2.42E-04
2570,122,805216.17 ,0.15 ,2.20E-04
1881,122,288499.71 ,0.13 ,2.09E-04
1575,122,477734.11 ,0.20 ,2.16E-04
251,121,741582.49 ,0.10 ,2.62E-04
509,121,133724.87 ,0.11 ,2.33E-04
1813,121,287244.50 ,0.19 ,2.10E-04
2440,121,658929.11 ,0.11 ,2.28E-04
878,121,394633.17 ,0.18 ,2.17E-04
1226,121,585712.39 ,0.17 ,2.53E-04
1967,121,102258.38 ,0.14 ,1.97E-04
3888,121,125517.89 ,0.08 ,1.90E-04
141,120,1610914.32 ,0.11 ,3.32E-04
320,120,174252.26 ,0.20 ,2.04E-04
324,120,659106.68 ,0.20 ,2.14E-04
2559,120,350751.07 ,0.16 ,2.23E-04
256,119,911338.45 ,0.11 ,2.63E-04
296,119,1111035.97 ,0.10 ,3.05E-04
350,119,1976269.35 ,0.06 ,4.05E-04
453,119,375944.24 ,0.15 ,2.17E-04
1740,119,97814.98 ,0.15 ,1.95E-04
1768,119,262017.46 ,0.19 ,2.05E-04
1369,119,494451.05 ,0.11 ,2.28E-04
6348,119,713066.21 ,0.10 ,2.98E-04
3566,119,220406.60 ,0.19 ,2.09E-04
98,118,1648573.56 ,0.09 ,3.40E-04
1914,118,279323.13 ,0.21 ,2.03E-04
4568,118,357089.35 ,0.10 ,2.09E-04
3865,118,204912.31 ,0.09 ,2.35E-04
3696,117,145649.88 ,0.20 ,2.07E-04
2606,117,325161.19 ,0.15 ,2.16E-04
855,117,425444.17 ,0.18 ,2.10E-04
481,116,509167.99 ,0.20 ,2.18E-04
1495,116,254538.83 ,0.17 ,1.99E-04
1290,116,403387.93 ,0.17 ,2.17E-04
2454,116,259180.55 ,0.17 ,2.09E-04
1947,115,203335.32 ,0.12 ,2.00E-04
1120,115,220298.98 ,0.12 ,1.88E-04
8908,115,545961.91 ,0.16 ,2.12E-04
3759,115,330381.88 ,0.17 ,2.03E-04
2536,115,515874.61 ,0.13 ,2.29E-04
3773,115,285370.38 ,0.12 ,2.02E-04
5060,114,246018.94 ,0.16 ,2.02E-04
3525,114,317048.20 ,0.10 ,2.28E-04
926,114,168634.20 ,0.18 ,1.95E-04
1277,114,248867.65 ,0.19 ,2.08E-04
1322,114,104184.52 ,0.09 ,1.90E-04
2518,114,92565.84 ,0.14 ,1.95E-04
2000,113,226151.53 ,0.17 ,1.99E-04
885,113,231449.94 ,0.19 ,2.00E-04
1259,113,305213.67 ,0.16 ,1.89E-04
1944,113,275038.89 ,0.21 ,2.07E-04
46,112,20600000.00 ,0.17 ,3.28E-04
1785,112,267103.69 ,0.18 ,1.98E-04
7484,112,76263.78 ,0.09 ,1.94E-04
2469,112,610738.72 ,0.17 ,1.95E-04
1357,112,75105.93 ,0.14 ,1.99E-04
3917,112,381661.57 ,0.12 ,1.87E-04
3994,112,162623.64 ,0.12 ,1.94E-04
53,111,939307.06 ,0.11 ,2.54E-04
1751,111,158635.78 ,0.21 ,1.94E-04
3887,111,172723.21 ,0.11 ,1.79E-04
8742,111,87922.34 ,0.13 ,1.85E-04
6863,111,380571.79 ,0.06 ,2.08E-04
520,110,398864.05 ,0.17 ,1.97E-04
1565,110,342261.79 ,0.15 ,1.93E-04
1825,110,135607.48 ,0.19 ,1.86E-04
2583,110,301569.56 ,0.10 ,1.88E-04
3853,110,114222.18 ,0.14 ,1.78E-04
625,109,958458.79 ,0.15 ,2.00E-04
2448,109,133594.30 ,0.16 ,1.79E-04
2619,109,449840.24 ,0.11 ,1.99E-04
1786,109,499041.16 ,0.16 ,2.00E-04
1824,109,510021.56 ,0.20 ,2.00E-04
2655,109,170493.10 ,0.10 ,1.80E-04
403,108,362457.01 ,0.17 ,2.00E-04
3726,108,262881.48 ,0.18 ,1.85E-04
1951,108,252845.00 ,0.20 ,1.90E-04
1800,108,306793.37 ,0.18 ,1.88E-04
5563,108,109404.93 ,0.16 ,1.86E-04
12977,108,91874.53 ,0.14 ,1.79E-04
1328,108,98339.68 ,0.09 ,1.77E-04
1533,108,80677.63 ,0.15 ,1.98E-04
452,107,202391.93 ,0.17 ,1.87E-04
2010,107,86144.85 ,0.15 ,1.73E-04
3875,107,199923.64 ,0.13 ,1.81E-04
5303,107,203759.09 ,0.07 ,1.77E-04
5354,107,71712.44 ,0.05 ,1.75E-04
5357,107,46426.63 ,0.06 ,1.72E-04
253,106,946377.88 ,0.03 ,2.99E-04
931,106,106819.13 ,0.15 ,1.81E-04
1079,106,290658.81 ,0.15 ,1.84E-04
2443,106,251451.24 ,0.14 ,1.85E-04
1265,106,228962.13 ,0.11 ,1.85E-04
633,106,191938.47 ,0.12 ,1.80E-04
1311,106,163795.08 ,0.09 ,1.68E-04
2017,106,197648.32 ,0.10 ,1.82E-04
4974,105,163162.18 ,0.13 ,1.84E-04
1091,105,340870.18 ,0.14 ,2.03E-04
1125,105,183594.40 ,0.11 ,1.78E-04
1256,105,460975.30 ,0.18 ,1.88E-04
1511,105,244850.33 ,0.20 ,1.95E-04
2011,105,289917.94 ,0.09 ,1.74E-04
2005,105,329379.69 ,0.14 ,1.95E-04
11252,105,205859.46 ,0.07 ,1.79E-04
4508,105,200509.80 ,0.11 ,1.77E-04
6834,105,287504.14 ,0.06 ,1.81E-04
7501,105,171317.06 ,0.09 ,1.91E-04
2071,104,79425.86 ,0.16 ,1.78E-04
1812,104,390992.76 ,0.17 ,1.86E-04
3855,104,699822.34 ,0.15 ,2.05E-04
1264,104,324043.29 ,0.17 ,1.85E-04
690,104,254716.81 ,0.16 ,1.77E-04
7172,104,141003.98 ,0.11 ,1.88E-04
4949,104,246578.23 ,0.08 ,1.99E-04
1950,103,273418.26 ,0.19 ,1.80E-04
1949,103,377602.05 ,0.15 ,2.08E-04
1853,103,177471.79 ,0.11 ,1.88E-04
1531,103,140463.04 ,0.18 ,1.83E-04
3889,103,63903.61 ,0.09 ,1.59E-04
5301,103,218093.38 ,0.06 ,1.75E-04
1864,103,124984.31 ,0.16 ,1.78E-04
54,102,990470.02 ,0.12 ,2.65E-04
138,102,423033.56 ,0.13 ,1.87E-04
1505,102,180114.03 ,0.14 ,1.86E-04
3477,102,155897.69 ,0.07 ,1.86E-04
1816,102,238358.09 ,0.18 ,1.86E-04
5435,102,350731.34 ,0.04 ,2.03E-04
139,101,298728.37 ,0.13 ,1.83E-04
249,101,996942.31 ,0.11 ,2.81E-04
636,101,312684.75 ,0.15 ,1.86E-04
1238,101,789465.56 ,0.17 ,1.92E-04
1251,101,177831.33 ,0.17 ,1.78E-04
3844,101,406572.83 ,0.16 ,1.72E-04
2013,101,255218.70 ,0.14 ,1.84E-04
211,100,944455.82 ,0.10 ,2.80E-04
356,100,431012.82 ,0.15 ,1.90E-04
891,100,166690.52 ,0.16 ,1.68E-04
1797,100,135307.41 ,0.21 ,1.65E-04
2408,100,296399.93 ,0.20 ,1.71E-04
1532,100,219955.75 ,0.12 ,1.88E-04
1870,100,103546.25 ,0.13 ,1.75E-04
2444,100,296294.45 ,0.09 ,1.98E-04
24087,100,3532398.00 ,0.01 ,0.001319346
314,99,524324.78 ,0.08 ,1.97E-04
656,99,242983.09 ,0.16 ,1.69E-04
3481,99,129519.91 ,0.06 ,1.86E-04
17440,99,2040354.56 ,0.03 ,2.63E-04
3890,99,139824.78 ,0.10 ,1.60E-04
1830,99,206961.39 ,0.19 ,1.69E-04
5280,99,124868.20 ,0.11 ,1.71E-04
149,98,1915754.45 ,0.02 ,5.54E-04
305,98,166286.92 ,0.08 ,1.94E-04
1339,98,166982.03 ,0.11 ,1.69E-04
1960,98,98722.63 ,0.13 ,1.70E-04
