Id,degree,betweenesscentrality,eigencentrality,pageranks
264,2,10.553 ,0.027 ,0.000 
265,1,0.000 ,0.019 ,0.000 
266,49,7493.245 ,0.342 ,0.002 
267,17,4640.214 ,0.117 ,0.001 
268,22,4374.910 ,0.188 ,0.001 
269,5,186.644 ,0.066 ,0.000 
270,156,50125.714 ,0.667 ,0.005 
271,5,1984.566 ,0.052 ,0.000 
272,9,2222.463 ,0.052 ,0.000 
273,10,234.532 ,0.093 ,0.000 
274,75,10263.537 ,0.440 ,0.002 
275,24,1965.546 ,0.184 ,0.001 
276,12,372.703 ,0.091 ,0.000 
277,10,257.182 ,0.083 ,0.000 
278,25,950.559 ,0.171 ,0.001 
279,3,7.211 ,0.030 ,0.000 
280,34,4760.637 ,0.232 ,0.001 
281,3,5.826 ,0.037 ,0.000 
282,17,2361.191 ,0.146 ,0.001 
283,1,0.000 ,0.019 ,0.000 
284,10,2581.645 ,0.082 ,0.000 
285,15,401.246 ,0.129 ,0.000 
286,1,0.000 ,0.019 ,0.000 
287,19,1177.745 ,0.177 ,0.001 
288,6,106.419 ,0.064 ,0.000 
289,3,34.655 ,0.051 ,0.000 
290,41,4849.611 ,0.292 ,0.001 
291,14,550.509 ,0.122 ,0.000 
292,9,155.752 ,0.083 ,0.000 
293,34,2074.650 ,0.252 ,0.001 
294,3,15.916 ,0.045 ,0.000 
295,29,2629.420 ,0.183 ,0.001 
296,5,218.046 ,0.041 ,0.000 
297,7,444.556 ,0.045 ,0.000 
298,4,83.868 ,0.054 ,0.000 
299,21,1236.333 ,0.150 ,0.001 
300,50,5963.178 ,0.254 ,0.002 
301,2,8.871 ,0.026 ,0.000 
302,23,2273.467 ,0.155 ,0.001 
303,24,3292.399 ,0.162 ,0.001 
304,4,10.988 ,0.045 ,0.000 
305,30,1373.763 ,0.234 ,0.001 
306,17,496.814 ,0.106 ,0.001 
307,33,1664.234 ,0.239 ,0.001 
308,18,475.870 ,0.126 ,0.001 
309,33,2601.064 ,0.217 ,0.001 
310,23,2023.213 ,0.161 ,0.001 
311,1,0.000 ,0.019 ,0.000 
312,25,2808.067 ,0.233 ,0.001 
313,8,127.870 ,0.063 ,0.000 
314,58,7104.014 ,0.290 ,0.002 
315,22,1043.288 ,0.129 ,0.001 
316,69,9096.655 ,0.440 ,0.002 
317,26,1170.134 ,0.189 ,0.001 
318,23,1006.940 ,0.145 ,0.001 
319,31,1616.126 ,0.237 ,0.001 
320,3,36.736 ,0.046 ,0.000 
321,39,4864.069 ,0.277 ,0.001 
322,38,4874.027 ,0.239 ,0.001 
323,9,233.158 ,0.089 ,0.000 
324,10,191.604 ,0.114 ,0.000 
325,68,9604.745 ,0.422 ,0.002 
326,44,3145.994 ,0.232 ,0.001 
327,30,2703.315 ,0.269 ,0.001 
328,7,79.445 ,0.083 ,0.000 
329,12,386.261 ,0.111 ,0.000 
330,38,5005.670 ,0.271 ,0.001 
331,41,5070.027 ,0.282 ,0.001 
332,123,28618.572 ,0.732 ,0.004 
333,12,1531.298 ,0.104 ,0.000 
334,30,2156.253 ,0.203 ,0.001 
335,73,12012.317 ,0.398 ,0.002 
336,74,16823.112 ,0.430 ,0.002 
337,169,52233.528 ,0.781 ,0.005 
338,67,7255.222 ,0.402 ,0.002 
339,21,888.072 ,0.135 ,0.001 
340,85,20199.976 ,0.378 ,0.003 
341,26,1480.670 ,0.237 ,0.001 
342,12,879.104 ,0.082 ,0.000 
343,42,6551.037 ,0.281 ,0.001 
344,161,55036.541 ,0.721 ,0.005 
345,10,222.694 ,0.111 ,0.000 
346,19,838.568 ,0.164 ,0.001 
347,56,11690.207 ,0.341 ,0.002 
348,26,1699.299 ,0.167 ,0.001 
349,16,741.886 ,0.122 ,0.001 
350,24,1564.613 ,0.201 ,0.001 
351,20,598.364 ,0.135 ,0.001 
352,30,3581.689 ,0.219 ,0.001 
353,6,175.632 ,0.065 ,0.000 
354,44,5948.740 ,0.220 ,0.001 
355,37,2320.151 ,0.267 ,0.001 
356,15,519.924 ,0.107 ,0.001 
357,15,631.498 ,0.138 ,0.001 
358,10,277.578 ,0.103 ,0.000 
359,28,4363.068 ,0.247 ,0.001 
360,4,29.181 ,0.035 ,0.000 
361,11,1340.982 ,0.113 ,0.000 
362,28,1257.647 ,0.145 ,0.001 
363,12,363.772 ,0.093 ,0.000 
364,33,2943.825 ,0.251 ,0.001 
365,23,1898.653 ,0.175 ,0.001 
366,15,4281.752 ,0.077 ,0.001 
367,41,2620.239 ,0.305 ,0.001 
368,5,84.127 ,0.046 ,0.000 
369,21,1095.912 ,0.145 ,0.001 
370,11,235.642 ,0.118 ,0.000 
371,32,3162.928 ,0.219 ,0.001 
372,5,128.116 ,0.043 ,0.000 
373,4,41.050 ,0.047 ,0.000 
374,1,0.000 ,0.019 ,0.000 
375,6,501.205 ,0.040 ,0.000 
376,5,70.675 ,0.041 ,0.000 
377,65,11892.730 ,0.390 ,0.002 
378,5,51.476 ,0.040 ,0.000 
379,5,21.015 ,0.044 ,0.000 
380,8,110.945 ,0.075 ,0.000 
381,50,7200.410 ,0.296 ,0.002 
382,9,357.104 ,0.094 ,0.000 
383,28,1758.687 ,0.183 ,0.001 
384,6,123.529 ,0.033 ,0.000 
385,37,4267.053 ,0.158 ,0.001 
386,38,5451.504 ,0.219 ,0.001 
387,15,497.852 ,0.100 ,0.001 
388,37,3423.566 ,0.188 ,0.001 
389,5,178.135 ,0.036 ,0.000 
390,17,557.462 ,0.137 ,0.001 
391,5,58.686 ,0.036 ,0.000 
392,71,12518.069 ,0.423 ,0.002 
393,11,313.515 ,0.072 ,0.000 
394,13,400.580 ,0.111 ,0.000 
395,31,1731.697 ,0.114 ,0.001 
396,12,363.418 ,0.083 ,0.000 
397,4,54.157 ,0.036 ,0.000 
398,1,0.000 ,0.019 ,0.000 
399,2,0.000 ,0.021 ,0.000 
400,5,125.497 ,0.039 ,0.000 
401,5,37.755 ,0.035 ,0.000 
402,5,71.370 ,0.046 ,0.000 
403,29,4903.270 ,0.176 ,0.001 
404,12,557.329 ,0.078 ,0.000 
405,14,1543.738 ,0.062 ,0.001 
406,3,26.398 ,0.042 ,0.000 
407,18,1632.409 ,0.149 ,0.001 
408,22,3221.962 ,0.145 ,0.001 
409,5,262.658 ,0.034 ,0.000 
410,3,1903.536 ,0.034 ,0.000 
411,4,43.578 ,0.043 ,0.000 
412,89,24695.270 ,0.370 ,0.003 
413,5,56.747 ,0.049 ,0.000 
414,2,5.677 ,0.024 ,0.000 
415,17,394.103 ,0.108 ,0.001 
416,9,916.748 ,0.057 ,0.000 
417,2,4.752 ,0.040 ,0.000 
418,43,5013.178 ,0.229 ,0.001 
419,9,673.618 ,0.063 ,0.000 
420,36,5156.203 ,0.175 ,0.001 
421,23,1605.115 ,0.147 ,0.001 
422,1,0.000 ,0.019 ,0.000 
423,1,0.000 ,0.019 ,0.000 
424,4,119.251 ,0.045 ,0.000 
425,2,0.000 ,0.039 ,0.000 
426,6,112.744 ,0.062 ,0.000 
427,2,5.549 ,0.035 ,0.000 
428,2,17.981 ,0.027 ,0.000 
429,8,57.259 ,0.105 ,0.000 
430,8,172.085 ,0.067 ,0.000 
431,14,945.163 ,0.099 ,0.001 
432,3,14.425 ,0.024 ,0.000 
433,2,40.879 ,0.020 ,0.000 
434,1,0.000 ,0.019 ,0.000 
435,2,0.000 ,0.033 ,0.000 
436,2,0.000 ,0.033 ,0.000 
437,18,635.314 ,0.123 ,0.001 
438,9,2045.094 ,0.050 ,0.000 
439,1,0.000 ,0.001 ,0.000 
440,3,14.727 ,0.046 ,0.000 
441,4,6.071 ,0.046 ,0.000 
442,15,197.627 ,0.111 ,0.000 
443,12,1267.728 ,0.112 ,0.000 
444,22,4003.265 ,0.142 ,0.001 
445,255,86599.366 ,1.000 ,0.008 
446,22,1230.562 ,0.137 ,0.001 
447,85,17953.296 ,0.412 ,0.003 
448,21,785.259 ,0.128 ,0.001 
449,33,2906.520 ,0.200 ,0.001 
450,12,370.767 ,0.108 ,0.000 
451,84,9419.446 ,0.470 ,0.002 
452,12,3008.479 ,0.078 ,0.001 
453,22,974.209 ,0.139 ,0.001 
454,16,373.744 ,0.129 ,0.001 
455,3,10.371 ,0.051 ,0.000 
456,39,6029.576 ,0.252 ,0.001 
457,72,8097.523 ,0.357 ,0.002 
458,25,4961.029 ,0.171 ,0.001 
459,10,160.417 ,0.096 ,0.000 
460,58,5584.516 ,0.330 ,0.002 
461,55,6431.243 ,0.285 ,0.002 
462,34,2137.009 ,0.218 ,0.001 
463,71,7946.453 ,0.360 ,0.002 
464,23,758.164 ,0.110 ,0.001 
465,14,377.669 ,0.116 ,0.000 
466,22,789.336 ,0.202 ,0.001 
467,78,9347.811 ,0.497 ,0.002 
468,44,3371.517 ,0.245 ,0.001 
469,9,193.351 ,0.046 ,0.000 
470,6,578.653 ,0.041 ,0.000 
471,54,4058.341 ,0.274 ,0.002 
472,6,85.406 ,0.048 ,0.000 
473,43,2263.436 ,0.312 ,0.001 
474,30,2463.545 ,0.225 ,0.001 
475,7,338.667 ,0.069 ,0.000 
476,32,4630.583 ,0.182 ,0.001 
477,3,2.494 ,0.028 ,0.000 
478,14,2716.937 ,0.101 ,0.001 
479,10,298.743 ,0.065 ,0.000 
480,44,5523.362 ,0.257 ,0.001 
481,15,919.739 ,0.112 ,0.001 
482,12,393.999 ,0.081 ,0.000 
483,51,4200.256 ,0.305 ,0.002 
484,20,1783.693 ,0.143 ,0.001 
485,11,83.226 ,0.103 ,0.000 
486,21,723.144 ,0.159 ,0.001 
487,7,142.808 ,0.062 ,0.000 
488,4,15.490 ,0.042 ,0.000 
489,1,0.000 ,0.014 ,0.000 
490,22,2617.509 ,0.131 ,0.001 
491,8,35.547 ,0.075 ,0.000 
492,15,385.772 ,0.113 ,0.001 
493,36,3127.474 ,0.222 ,0.001 
494,7,156.488 ,0.042 ,0.000 
495,30,1761.953 ,0.147 ,0.001 
496,9,75.410 ,0.049 ,0.000 
497,12,911.675 ,0.067 ,0.000 
498,16,492.545 ,0.120 ,0.001 
499,38,2719.128 ,0.194 ,0.001 
500,12,118.272 ,0.062 ,0.000 
501,11,287.964 ,0.096 ,0.000 
502,11,2297.381 ,0.066 ,0.000 
503,20,2657.243 ,0.097 ,0.001 
504,4,20.150 ,0.024 ,0.000 
505,5,161.348 ,0.030 ,0.000 
506,8,202.781 ,0.087 ,0.000 
507,5,51.801 ,0.045 ,0.000 
508,3,44.510 ,0.045 ,0.000 
509,24,1792.450 ,0.152 ,0.001 
510,3,86.085 ,0.016 ,0.000 
511,10,252.883 ,0.115 ,0.000 
512,6,58.622 ,0.072 ,0.000 
513,1,0.000 ,0.008 ,0.000 
514,4,857.893 ,0.045 ,0.000 
515,8,110.507 ,0.080 ,0.000 
516,46,3605.737 ,0.294 ,0.001 
517,9,313.064 ,0.080 ,0.000 
518,2,5.909 ,0.012 ,0.000 
519,40,8435.247 ,0.282 ,0.001 
520,27,1191.721 ,0.204 ,0.001 
521,37,2140.130 ,0.299 ,0.001 
522,5,50.391 ,0.029 ,0.000 
523,9,203.377 ,0.073 ,0.000 
524,4,72.903 ,0.030 ,0.000 
525,2,74.787 ,0.008 ,0.000 
526,10,713.206 ,0.079 ,0.000 
527,2,25.597 ,0.024 ,0.000 
528,35,2438.736 ,0.229 ,0.001 
529,8,2048.426 ,0.069 ,0.000 
530,2,4.652 ,0.011 ,0.000 
531,4,52.804 ,0.031 ,0.000 
532,4,58.527 ,0.032 ,0.000 
533,27,2257.222 ,0.173 ,0.001 
534,39,6512.791 ,0.268 ,0.001 
535,29,1227.994 ,0.185 ,0.001 
536,48,4207.437 ,0.287 ,0.001 
537,2,35.814 ,0.011 ,0.000 
538,4,40.579 ,0.026 ,0.000 
539,17,865.223 ,0.133 ,0.001 
540,10,422.615 ,0.090 ,0.000 
541,13,259.914 ,0.070 ,0.000 
542,4,93.906 ,0.050 ,0.000 
543,9,112.331 ,0.098 ,0.000 
544,2,5.004 ,0.015 ,0.000 
545,34,4391.773 ,0.164 ,0.001 
546,3,42.616 ,0.017 ,0.000 
547,27,1500.607 ,0.137 ,0.001 
548,46,3532.731 ,0.255 ,0.001 
549,3,49.677 ,0.029 ,0.000 
550,1,0.000 ,0.008 ,0.000 
551,4,16.249 ,0.057 ,0.000 
552,18,488.201 ,0.131 ,0.001 
553,14,406.497 ,0.079 ,0.000 
554,1,0.000 ,0.008 ,0.000 
555,4,74.499 ,0.019 ,0.000 
556,1,0.000 ,0.008 ,0.000 
557,35,1853.132 ,0.241 ,0.001 
558,11,426.990 ,0.045 ,0.000 
559,2,9.796 ,0.022 ,0.000 
560,3,24.215 ,0.037 ,0.000 
561,3,20.209 ,0.014 ,0.000 
562,1,0.000 ,0.008 ,0.000 
563,7,286.629 ,0.053 ,0.000 
564,3,22.891 ,0.043 ,0.000 
565,1,0.000 ,0.008 ,0.000 
566,3,28.069 ,0.019 ,0.000 
567,1,0.000 ,0.008 ,0.000 
568,2,42.648 ,0.016 ,0.000 
569,2,26.349 ,0.010 ,0.000 
570,2,12.645 ,0.002 ,0.000 
571,1,0.000 ,0.002 ,0.000 
572,3,147.629 ,0.006 ,0.000 
573,66,18064.812 ,0.281 ,0.002 
574,82,17123.379 ,0.409 ,0.003 
575,26,4099.525 ,0.182 ,0.001 
576,45,4663.991 ,0.221 ,0.001 
577,5,38.680 ,0.022 ,0.000 
578,15,637.050 ,0.059 ,0.001 
579,1,0.000 ,0.006 ,0.000 
580,13,156.781 ,0.106 ,0.000 
581,17,322.209 ,0.150 ,0.001 
582,12,159.551 ,0.102 ,0.000 
583,66,8159.063 ,0.330 ,0.002 
584,2,0.000 ,0.021 ,0.000 
585,5,9.858 ,0.037 ,0.000 
586,50,4041.533 ,0.318 ,0.001 
587,31,3027.061 ,0.146 ,0.001 
588,18,283.529 ,0.105 ,0.001 
589,7,70.131 ,0.030 ,0.000 
590,22,1179.050 ,0.138 ,0.001 
591,11,148.234 ,0.073 ,0.000 
592,9,82.827 ,0.080 ,0.000 
593,8,58.242 ,0.031 ,0.000 
594,12,2284.809 ,0.045 ,0.001 
595,13,411.520 ,0.038 ,0.000 
596,30,2754.965 ,0.171 ,0.001 
597,3,4.545 ,0.013 ,0.000 
598,2,2.188 ,0.013 ,0.000 
599,152,37679.390 ,0.687 ,0.005 
600,7,54.536 ,0.034 ,0.000 
601,23,1158.809 ,0.100 ,0.001 
602,93,20343.948 ,0.387 ,0.003 
603,17,270.211 ,0.086 ,0.001 
604,8,1954.352 ,0.020 ,0.000 
605,21,3397.105 ,0.106 ,0.001 
606,6,626.652 ,0.028 ,0.000 
607,1,0.000 ,0.002 ,0.000 
608,35,2195.717 ,0.204 ,0.001 
609,29,1171.709 ,0.164 ,0.001 
610,22,1030.221 ,0.170 ,0.001 
611,2,58.820 ,0.010 ,0.000 
612,38,6196.585 ,0.166 ,0.001 
613,12,159.513 ,0.058 ,0.000 
614,1,0.000 ,0.002 ,0.000 
615,7,39.796 ,0.029 ,0.000 
616,3,4.538 ,0.046 ,0.000 
617,18,1828.137 ,0.124 ,0.001 
618,1,0.000 ,0.020 ,0.000 
619,5,289.241 ,0.040 ,0.000 
620,1,0.000 ,0.020 ,0.000 
621,16,367.249 ,0.110 ,0.001 
622,2,0.000 ,0.021 ,0.000 
623,10,772.329 ,0.066 ,0.000 
624,9,202.566 ,0.061 ,0.000 
625,5,13.670 ,0.057 ,0.000 
626,67,7236.008 ,0.416 ,0.002 
627,13,3011.473 ,0.092 ,0.001 
628,27,1479.896 ,0.177 ,0.001 
629,46,4115.089 ,0.251 ,0.001 
630,26,1187.259 ,0.181 ,0.001 
631,54,5975.885 ,0.319 ,0.002 
632,38,5429.391 ,0.222 ,0.001 
633,59,8602.809 ,0.345 ,0.002 
634,15,2698.115 ,0.119 ,0.001 
635,16,4501.133 ,0.083 ,0.001 
636,101,56098.532 ,0.373 ,0.005 
637,44,3414.383 ,0.270 ,0.001 
638,23,2687.027 ,0.164 ,0.001 
639,38,4992.842 ,0.236 ,0.001 
640,14,309.199 ,0.102 ,0.000 
641,113,29628.029 ,0.488 ,0.004 
642,15,792.006 ,0.083 ,0.001 
643,4,38.093 ,0.038 ,0.000 
644,30,2315.532 ,0.146 ,0.001 
645,22,3014.211 ,0.181 ,0.001 
646,47,3627.920 ,0.291 ,0.001 
647,9,171.514 ,0.073 ,0.000 
648,16,361.694 ,0.123 ,0.001 
649,16,1213.313 ,0.098 ,0.001 
